Review title,Username,Review,Rating,date,traveller_type
Best Brews,Helmy MJ,"Served by Nabilah @ Best Brews. Impressed by her friendly gestures, conversation and recommendations. Definitely a gem staff to cherish in a hospitality industry. Thank you for serving us with great personality and kindness! 👍👍👍",5,,
Perfect luxury escapes,Itravel0ne,"After a long break, it’s time to travel and find a short escape. Can’t fault all and this is a perfect stay from arrival to departure. There’s a family pool on the 20th floor and a lap pool on the 3rd floor. Gymn is also on the 3rd floor and well equipped. Thoroughly enjoyed the room and amenity and also the breakfast. Need to plan a quick return soon.",5,,
A memorable stay,MJ & S,"We stayed at Four Seasons Singapore for a week and really enjoyed it. The staff were excellent and polite, we felt the service was one of the best we have ever received. Our room was spacious and clean, the beds were very comfortable. The pools/gym were spotless and well looked after. The location of the hotel is also excellent, plenty of shopping and food options and good transport links. We stayed at 2 other five star hotels during our trip to Singapore, neither of them come even close to the Four Seasons experience.  A big thanks to all the staff for making our stay so special.",5,,
Exceeded my Expectations,marcobravo88,"Overall, a great stay at FS Singapore. It's all about the small details that made my experience really wonderful throughout my stay. I also caught Covid during my stay and I was very well taken care of during my isolation period. Rooms are nicely renovated and also LOVE the new gym as well (easily one of the best hotel gyms I've ever seen). If you are staying in Orchard, look no further and would highly recommend to stay in this lovely property!",5,,
A Thoughtful Experience,SifuTones,"The FS hotel may not be the latest or trendiest in Singapore, but it may be the most thoughtful and intelligent. My family were well looked after during our recent stay with the hotel taking extra measures to ensure our comfort with our toddler. It was our first time overseas with her and the Four Seasons made it a lot easier with baby products unexpected but all provided. Service and luxury are all standard at this hotel as you would expect. ",5,,
Fantastic hotel,akshaykilachand,"What can I say-superb in every respect-class personified-rooms,service,cleanliness-concierge-location.food.All top class-well done team four seasons keep it up- no wonder its the best hotel in Singapore",5,,
Relaxing Birthday Stay with Family!,Rohitshenoy,"The property was extremely comfortable matched by top notch service.  They helped us start our 3 day journey off right with a very early check in straight from a red eye flight.  The redone rooms were exquisite in a minimalist way with a high floor view.  We just felt so at home, especially given the attention they gave to the comfort of our 2yr old.  Highly recommended for families with young children!",5,,
"Excellent service, amazing staff and beautiful hotel",LifeWorkTravel,It was an excellent service from check in all the way to check out. We enjoyed our stay. The staff are all attentive and helpful and ready to assist when need help. It was a beautiful short staycation for the family. The facilities are clean and sanitized at all times. It was pandemic so all precautionary measures are strictly adhere by staff and instructed guest to follow. We feel safe and enjoyed our staycation.,5,,
Luxury on Orchard,rickR1185WP,"Fantastic place to stay, when visiting Singapore. Quiet location, almost felt like on the outskirts, yet right in the heart of the city close to everything. Luxurious, but not as expensive as the other 5 star hotels on Marina Beach - still close to it all.",5,,
Exemplary customer care,scooter051,"The Four Seasons Hotel Singapore has  a customer care culture that is unique for a large hotel in my experience. From arrival, when the people at the door read your name  from the baggage tags and address you accordingly to reception where the formalities of check in are brief and fast, there  is a feeling that the hotel will go out of its way to ensure your comfort. If an advance check in has been made, you can go straight to your room. Rooms are spacious, spotless clean and serviced twice a day. Every request is promptly attended to. We needed extra water, and there were always plenty of bottles kept for us. A guest is welcomed back every time he goes out and returns, and the bar and restaurants go out of the way to provide what is asked for.  My wife celebrated her birthday during our stay,and it was so nice to receive a note from the maid wishing her in addition to the more usual cake and candles sent up from reception. Gladys, at the concierge desk was extremely helpful in arranging some special flowers for a friend’s birthday (which he really liked) and also in procuring hard to get reservations at a seafood restaurant to celebrate my wife’s birthday with friends. I have stayed here before on business trips but wanted my wife to experience the high standards of customer care the Four Seasons provide.  She was very impressed. This place makes you feel special.…",5,,
