Review title,Username,Review,Rating
MOST UNPLEASANT STAYCATION TO-DATE!,TiguanT,"I am writing this review to share with the TripAdvisor community.  HFC staycation was the most unpleasant to-date.  We staycay every month.   I have written in to request for early check-in but was told to call on the actual day to check.  I called up during lunch and was told that the room was not ready and the standard check-in time is 3pm.   I got a call slightly before 2pm while I was driving.  The lady (I didn't get her name but she had an Indian accent) informed me that my room was ready and further added that the flowers have arrived and will be placed in the room!  My partner who was in the car with me was beyond shock and anger.  It was meant to be a surprise for me.  There was a note on the bouquet.  He has also corresponded with the hotel prior without my knowledge.  Our mood was completely ruined.   Upon our arrival, we were greeted by Dayan who was most apologetic about the incident.  During check-in, I asked for late check out but was told that the hotel was full and would only allow late check out at 12.30pm on 10/9.  When we got into the room, the flowers were not there.  We again had to call the front desk.  Dayan brought along a bottle of wine and two plushies (from the hotel) and the flowers that my partner ordered.  He also allowed us late check-out at 2pm.   The next morning, we had breakfast at The Salon.  We were in disbelief and were seriously wondering if HFC is a 5 stars hotel?  The place and breakfast need a MAJOR revamp.  One would never expect such spread at a 5 stars hotel.  That was 3 stars at best or even 2 stars standard.   Hotel breakfast is always a highlight for us but this was terrible.  We barely ate and left. Bear in mind that the room with breakfast comes at a premium!  Upon departure, we were also given a tiny piece of birthday (banana) cake, approximately 3x8cm in size to take away which room service did not manage to leave in the room (we did not have DND turned on) on 9/9.    The hotel can certainly do better with the cake.   As shared by other reviewers, the property is tired and ill-maintained.  Take this as a kind warning, book at your risks!…",1
Fantastic service and vegan food for event,Zeng,"Our group engaged with Hotel Fort Canning for a 4-day event and used their rooms (i.e. Jasmine Room, Living Room and Glass House) for our seminars. We had an amazing experience, including a vegan BBQ and buffet at their Garden Terrace for 60 pax.   We were very impressed with the professionalism and hospitality of the staff, especially Eva. She helped us with a lot of our requests from weeks before our event and delivered professionally in how we want the set ups to be organised. She followed up really attentively with us before, during and after the event.   Something that was very important to us was having vegan food. It seems that this is not what the hotel usually do but their Chef Louis was able to design the menu for our lunches, snacks and dinners with delicious plant-based cuisines. Our group's participants had praised the quality and taste of the food a lot throughout the days there.   Besides the staff, the location and venue were great. The rooms that we booked are conducive for seminars and workshops. There are full-length windows in all the rooms that we used and it was great to have natural light throughout the day (or we could also draw up the curtains). The team were able to quickly change up the set ups of the rooms and partition them quickly, according to our needs. The venue is really central and by situated right in the park, we could go out for a walk very quickly and catch fresh air. One thing that we'd prefer is to have the room to be less cold as the a/c was quite strong. But the staff managed to adjust for us upon feedback.   We are grateful for the attentiveness, hospitality and warmth of the HFC staff team. They made our event such a memorable one for the attendees from 10+ countries over the 4 days. We highly recommend HFC if you're looking at organising seminars or a team retreat.…",5
It could be fabulous - but it wasn’t,MaudWel,"At first impression the hotel, and especially it’s facade and location, have all the ingredients to be a top hotel. But it is tired, the staff is just not interested, the food is terrible.  On arrival at 19:00 no doorman to pick up the luggage. Only one person at reception. No flexibility, no warm welcome. From this type of hotel you would expect a welcome drink, some fruits in your room. But maybe I am just spoilt after living in Asia for 10 years.  The room: good size room, nice bathroom. No supplies in mini bar. No option to control aircon in the room, just one cold centrally arranged temperature. The food; this was the biggest let-down. The coffee at breakfast is very poor and slow from a machine. No fresh coffee or cappuccino, no fresh juice. There is not even normal yoghurt at breakfast, let alone Greek yoghurt, or nuts. No healthy options, fruit limited. This is not Singapore 2022. Choices were limited to basic carbs/ high sugar options or rice and Chinese porridge and local sweets and stale croissants. The bar closes at 10:30pm, doesn’t even have a Coke Zero or coke light. Food at the lobby restaurant is that of a basic sports bar with pizza Hawaii and fries.  Check out took 25 minutes with again only one lady at reception. Luggage collection from the room another 20 minutes…  The doorman during the day is the highlight. A very friendly man!  The gym is fantastic! All equipment you want. The location is lovely if you want to be close to town but in the surrounding of nature.   Overall - they can fix this. Easily. The tools are there, but staff, service and food really need a big boost.…",3
3 day Merdeka Stay in a hidden gem,cK Ong,"Took some time off for Malaysia's merdeka mid-week holiday and drove to Singapore and stayed at HFC. Getting from Tuas Checkpoint to the property was easy and smooth. Parking was free in the property for guests.  The lobby was well appointed and had a very laidback feel. Like a resort hotel vibe despite it being right in the middle of the City.   The room was well appointed, very clean and spacious with all the amenities. Loved the complementary nespresso coffee machine and TWG tea bags in the room.  The bathroom had a shower stall and a separate bath tub, which was well used. Had a good long soak every night after a long day of sightseeing Singapore.  Breakfast was buffet style, but the star for both breakfast days were the fruit platter. Watermelon, rock melon, dragon fruit ...all were exceptionally fresh and crazy sweet.   Connectivity was easy due to its central location. Walking to Dhoby Ghaut is less than 5 mins, and the Downtown Fort Canning station is equally near.   All in all, this is one of the hidden gems for a short staycation in Singapore, quite unlike the usual glass and concrete standard hotels in Singapore. Will come back again.…",5
Dayan Saves The Day,Sarah S,"We experienced a rocky start to our stay at Hotel Fort Canning when our room safe stopped working with our valuables inside it.   Thanks to Dayan at front reception our trip significantly improved when he was able to offer us a free room upgrade. Dayan went the extra mile, showed care and was attentive to greeting us and helping us each time he saw us. He deserves to be commended. His service was excellent.   Before booking at Hotel Fort Canning, be mindful that you will need to walk 5 steep flights of stairs coming / going from the hotel given its situated as a fort.",3
Lovely location.,Alan_Irene,"We really enjoyed the location of this property.  Located in the gardens means no traffic noise and it is only a 10 minute walk to lots of good restaurants and the waterfront.  The hotel itself is tired.  Many of the staff seemed to either lack interest or ability to offer good service.  Most were friendly, some not so much - but we felt the service at this hotel really lets it down.  I cannot emphasise this enough.  From check in to bar service!  For the price they charge the hotel should be cleaner, friendlier and generally offer better service. The only standout was Jonathon, who always greeted us with a smile and friendly, attentive service - the hotel needs another 10 Jonathon’s. The room was spacious and comfortable.",3
Worst suite experience in my life,Chris,"I rarely write reviews, but this time i am really inclined to let people know how awful this hotel is. I booked their suite for my wedding weekend.  1. No one greeted us at the entrance, we didn’t even know where to go. Upon reaching the front desk, the staff was unwelcoming and uninformative. We did not even know how to get to the lift.  2. When we reached suite 220, we noticed that the room was in extremely poor condition. Here are some examples: a. Floor was badly scratched up and looks like it wasn’t clean at all (image 1 & 2) b. There was a baby lizard on the dressing table (image 3)  3. The wooden floor at the dining area was in very poor condition. One of us suffered a wooden splinter in their foot. (No image because it was a tiny piece that couldn’t be captured on camera)  4. We requested for a 3rd bed in the suite, so we went to the concierge, and there was no staff around, I had to call out to the back to get someone’s attention. The staff again was unwelcoming and unhelpful, responding to us “ya, it will be extra 80 dollars”, without also specifying that it is the price for one night.  5. That night, when we called for extra pillows and water, we called the operator but no one picked up (is that normal?), we called housekeeping and the staff told us ‘we had no more pillows’. He did not spend any effort making pleasantries on the phone either, he literally told me “ok. Bye.” – which honestly is appalling service. When he came up, he said he found extra pillows, but he was carrying them with his bare hands and chin, and balancing the waterbottles above the pillows. I have no issue with that, but shouldn’t there be some level of hygiene here?  6. The next morning, the makeup artist arrived at around 745am to prep my wife for wedding makeup. Upon arrival, the reception was ASLEEP at the front desk. Is this acceptable?  7. Upon calling for water, we were told that we reached the limit for getting water for our room. Again, if that is your policy, that is fine. But I have never in my life been capped on plain water from a hotel, and I am staying in a suite nonetheless.  8. One of our bridesmaids used the bathroom in the dining area got TRAPPED in the toilet from the inside – even without locking the door. The door just jammed and we could not get it open. (I will not post the video for the privacy reasons)  9. Upon checking out, no one helped with our bags, no one bothered to ask if we needed parking coupons or a cab? I have stayed in hotels rated much poorer that pays attention to such details. We just lugged everything ourselves to end off the bad experience.  Please save yourself the horror and just book another hotel.…",1
Always a lovely stay!!,Amanda K,"Absolutely love HFC, stayed here 4 times in last 7 years. This time it’s looking a bit tired but as usual the staff are lovely and always willing to help. The pools are stunning and it’s a lovely little quiet stay in the middle of a huge city. Singapores National Day is 9th Aug and they celebrate with all sorts of events, concerts and fan fair. Try to make your stay here with this included.",4
Great stay!,Seri Lee,"Albeit all the other not so great reviews of the hotel, ours was great!   Room was great and spacious and the bathroom was a gem! Tho the front office staff could be a little more friendly and welcoming, the room was perfect. After reading the reviews of the hotel, I wasn’t too sure if it will be great to celebrate my husband’s birthday there. However upon arrival at 5pm, the check in was smooth.   We were assigned room 339 which was nice and I guess the hotel decided to maintained their rooms after all the reviews they received recently.   We were promised a cake for my husband’s birthday but we received none. I didn’t mind it at all since we had a cake of our own brought by our friends. However it’ll be great if the promise was delivered.  Will return here again for the nice rooms and peaceful ambiance!…",4
Poorly Maintained Infrastructure and Limited Amenities,Vincentimbe C,"Had a short 2-night staycation with friends. Other than the friendly staff at the front desk, housekeeper and server from the kitchen, there is nothing much to compliment the hotel. The receptionist processing the check-in was friendly and patient in explaining the details to me. As we had turned on do-not-disturb sign, we were not approached by the housekeeper. However, when I bumped into him along the corridor to ask for new towels, he was helpful to exchange towels for me and proactively asked if we needed to change the bed linens, which we kindly declined. On the second night, I had called the kitchen to request for a bottle opener, and the staff was prompt to deliver to our door.  The front desk staff told us it was a non-smoking room, but we could smell a strong stench of lit cigarette along the corridor leading to our room. The room is spacious as advertised but the in-room amenities are pretty limited. The Smart TV could not be linked up to our personal laptops via HDMI. There is a big bathtub and separate shower, which we appreciated. The wooden floor and table looked poorly maintained. The shower head and the air conditioning vent were mouldy. There were lots of dust gathering at tight corners, such as behind the TV and behind the bedside table.  The worst of all was another guest was able to opened our room door using his access card key to our horror. When we rang up the front desk, the staff told us that the guest was facing issue opening his room door, which was located just one floor below us, and the guest was trying to open other doors. The guest also forgot his own room number, and mistook ours as his. The staff apologised over the phone to us. She explained the hotel was investigating into the incident, but was unable to provide an explanation as to what could have happened. Perhaps the hotel should review the room access card key system.…",2
