Review title,Username,Review,Rating,date,traveller_type
Perfect hotel!,Christian K,"I thoroughly enjoyed this hotel in the last week!  My room, view, and the lounge were awesome, but more so were the staff Hazel, Kay, Fatimah, Luna, Ren, Lorraine, Gab and John!  They truly made me feel at home and not alone.  If I ever return to Singapore, this will be my hotel of choice again!",5,October 2022,Travelled solo
A luxury hotel with personnel remember guest!,pocky87,"Enjoyed a staycation here, but what makes this staycation different from other hotels? They remember repeated travellers!  So please allow me to list down the staff who have provided such exemplary service this time round:  In the Executive Lounge: Hazel, Gabriel, Hannah, Jerome - Hazel, Gabriel, Hannah, and Jerome provided a service that I believed would make the JW Marriott Singapore South Beach Executive Lounge experience one of the best in the world. I’ve known Hazel for a long time since my first stay back in 2017, and I was grateful that she remembered my past stays with the hotel, particularly my last 2 stays back in 2020. Hazel also provided lots of surprises and hospitality in celebrating my friend’s birthday in the executive lounge, providing a special moment that was truly memorable just like how she had provided in my past stays.  In Madame Fan: Wilson, Janet, Leon, led by Swee Boon - The team led by Swee Boon from Madame Fan has always taken great care of me and the service and experience were simply immaculate as always, and I was thankful for how Janet managed to arrange the brunch booking even at the last minute and got my favourite table corner in the main dining area. Wilson never failed to provide great recommendations and remembered my previous orders. He has provided multiple surprises and great service to celebrate my friend's birthday, making the brunch such an unforgettable one. Despite the busy hour, he will never fail to come by to interact with us and make sure that we have tried all the must-try dishes during the brunch. Madame Fan has always and will always be my favourite Marriott Bonvoy participating Chinese restaurant in Singapore, and I look forward to many more happy moments in the restaurant.  In the Beach Road Kitchen: Ashwin Badrinathan, Assistant Director of Food and Beverage - I was glad to have a brief yet pleasant interaction with Ashwin, the Assistant Director of the Food & Beverages team, who was eager to share more about the hotel’s food and dining options. The conversation went much further as I was sharing how I’ve received great hospitality from the Madame Fan service team whenever I’m there. It’s such conversation and interaction that made the stay an enjoyable one.  Front Office: Samuel Lee, Duty Manager - I'd like to congratulate you on hiring such a brilliant duty manager; I knew Samuel from another 5-star luxury hotel not too far by the Marina Bay area, where I did a staycation in 2021 when JW Marriott Singapore South Beach was still a Stay-Home Notice Hotel. I remember clearly it was my first stay in that hotel, and it was because of Samuel’s excellent first impression during the check-in and attentive service throughout my stay that made me book straight away for my second and birthday stay at that hotel. What amazed me was when I walked past the front desk in the afternoon, Samuel immediately recognized me and greeted me by my last name, even though it had been almost half a year since we last met. At the JW Marriott Singapore South Beach, Samuel equally delivered one of the most personalized and hospitable services that would simply make me want to contribute more of my wallet share to this hotel. He also attended to me during my check out and we managed to share and talk more about JW Marriott Singapore South Beach, including my latest and past staycations and dining experiences in the hotel. I’m glad to see such great personnel joining one of my favourite Marriott International properties and wish him the very best at JW Marriott Singapore South Beach.…",5,June 2022,Travelled with friends
Impressive customer service,Woollyskier,"The warm, genuine, attentive customer service was impeccable!  The staff remembered our name.  And greeted us with a smile.  Always professional with outstanding attention to detail.   We stayed over the F1 Grand Prix weekend.  We could see the cars & track from EBB 6- excellent view!!  We also had a view of the track & stage from our room.    Decadent room & bed. Fun location in the city.    We used the lounge.  The best food in a hotel lounge we’ve ever experienced.  I have a long list of food intolerances  and they took very good care of me.  Chef Jerome cooked a delicious specific breakfast daily for me.  Host Hazel made the lounge feel like being welcomed into a friend’s home.  Rose at the EBB6 pool was very attentive and kind.  The staff made our hotel stay very special.  And we will definitely return.  Thank you JW!!…",5,October 2022,Travelled as a couple
Lovely hotel - shame that the attitude is so elitist!,Debbie8115,"Lifetime Gold Elite (after 8 years as platinum Elite) - I felt like a pauper checking in on a points booking amongst the Prada Princesses during Grand Prix weekend.  No recognition of my Marriott Bonvoy status, no upgrade to which I’m entitled (even though better rooms were available), generally aloof ‘you are lucky to be staying here’ attitude, no upsell of lounge access.  The room was great - although where was turndown service and replenishment of coffee supplies?  Amenities top notch.  Design amazing.  Prices sky high, location amazing especially pool overlooking GP track.  No mention of floor 18 facilities closure during GO weekend.  Lovely hotel but arrogant I’m afraid :(",3,September 2022,Travelled as a couple
"Back in Singapore for the F1, and back at the JW Marriott South Beach",ScubaDyver,"The JW Marriott at South Beach is one of the best hotels we've stayed at.  It is located adjacent to the Esplanade MRT station, for easy access to the city, and the F1 course.  The roof bar and pool actually overlook Turn 13 on the course .......  The hotel is modern, and impeccably maintained.  The staff are professional, responsive, and friendly, and extremely customer focused.  It's home to the best Executive Lounge that we've encountered in our JWM stays, which is accessible at no charge to higher end JWM rewards program members, and also to non members for a reasonable fee.  There are excellent high end restaurants adjacent to the Hotel in the old Singapore Defense Forces NCO club, and also excellent more informal restaurnts in the open are plaza adjacent to the hotel (on the way to the MRT station).  We stayed in a king sized room from which we could see (and hear) cars turning at Turn 13 on the circuit.  The room was well laid out, with a desk designed for modern work requirements with multiple outlets and the ability to tether a laptop.  The bathroom was luxurious, with full amenities, and there was plenty of storage space.  Impeccably clean and ergonomically designed.........  electrically operated day and night-time curtains were a neat touch.  As mentioned above, the Executive Club is the best that we've encountered in stays at many different JWM hotels.  It offers breakfast, afternoon tea, cocktails and hors d'oeuvres, and evening drinks.  The breakfasts offer Chinese, Indian, and western dishes along with made to order noodles, and eggs, along with a great selection of fruits and delicious pastries.    The evening hors d'oeuvres and extensive and very tasty , and drinks are excellent.  The staff  - led by Hazel  - are friendly, professional, and helpful with advice about the city.  We'd first met Hazel in 2019, and it was wonderful to see her there again.  The overall level of service in the Executive club is very impressive, and it offers the same high speed internet access as the rest of the hotel, along with some quiet areas for working while relaxing.  One of the best city hotels we've encountered, with very helpful, friendly, and professional staff.…",5,September 2022,
Come for the location but stay for the fantastic service,Sarah G,"The highlight of my recent business trip was my stay at the JW Marriott. I had the fortune/misfortune of having my trip overlap with the Singapore F1 Race, but the JW Marriott exceeded my expectations. Even though over 300,000 people were in town for the race, the JW felt like an oasis. The room was great, but the service made the stay stand out. Specifically, Hazel in the Executive lounge was excellent. She exudes warmth while delivering five-star service. I can say with confidence that she was the highlight of my stay and why I will always choose the JW Marriott when I come back for work or pleasure.",5,October 2022,Travelled on business
Wedding Dinner,17awesome,"We just had our wedding on 17 September 2022 at JW Marriott South Beach and the event was everything we hoped for. Our greatest thanks will have to go to Chanel Tan, the assistant director of events. She ensured that our experience was a positive and thoroughly reassuring one. She remained responsive, reliable and always accommodating our requests within the best of her capacity. She also remained professional throughout, attends to the smallest of details, and wears the most welcoming smile during all our meetings. She is truly someone whom I think Marriott needs to value as she is truly competent and capable, and this is not without backing. We first engaged Marriott for our wedding banquet dinner early 2021, and halfway there was a change of our liaison from Theresa to Chanel, inviting a lot of concerns for me and my wife. Thankfully, Chanel not only addressed this with a smooth transition, she also exceeded our expectations subsequently which culminated in an unforgettable wedding experience for the both of us.  We would also like to thank the other people involved including Nuttee for being responsive and thorough, ensuring the dinner went ahead smoothly, including our after-party which was an exhilarating one with our guests. Eugene from AV also handled our wedding schedule and lighting well, and the sumptuous meal prepared by Chef Raymond and his team.  Overall, a very positive experience and we will strongly recommend our friends to consider having their special day at JW Marriott itself. We also look forward to our anniversary stay as the hotel rooms and staff service were great too.…",5,September 2022,
Great Experience,Felix G,"Especially the welcoming staff at the executive lounge was worth the stay! Big thanks to Hazel (absolutely lovey woman), Sara, Gab, Ren and Cora.   Hopefully will see them again another time.   Also good Hotel to stay for the formula 1 weekend because of its central location.",5,September 2022,Travelled on business
"Excellent service, Great location, Superior Executive  Lounge.",Ming,"The front desk Luna is extremely nice and accommodating. Fast early check-in was greatly appreciated. The executive lounge staff are the best! Hazel,Ren,Gab,Kay,Fatmah,and Prakas they work extremely hard to make guests feel at home. The food selections for breakfast, afternoon tea and dinner are all 5 starts👍👍( many only service snacks but here is back to pre-Covid)",5,September 2022,Travelled solo
Awesome service,A. Savoie,"Very nice location, walk-able distance to the marina sand area and the bridge. The staff was awesome specially Hazel at the lounge. The food was also remarkable!  Thanks it was a very memorable week!  😊",5,September 2022,Travelled on business
