Review title,Username,Review,Rating,date,traveller_type
Disappointing service and stay,Travelloger2,"I was quite disappointed with our stay at the M.O. earlier this week. I checked out with relief that its over, just yesterday.   I booked an Ocean view Twin room for our family of four (two adults, two children). On checking in, we were directed to a King bedroom. I went downstairs to the lobby to ask them to correct this error. The receptionist issued a new keycard and we hauled our 5 suitcases and kids to the new room only to find that this was once again a King bed room. After that, I spent the whole day repeating my requests for a twin bed, which was acknowledged but ignored. We left the room twice for 2-4 hours to allow for the configuration change. Finally, at 8.55pm, the house manager called upon us and asked if everything was alright and that they were ready to change the beds to a twin configuration. It was of course far too late to change anything. My older one was asleep on the chair and younger one had already slept in the kingbed. Our sleeping arrangement was needlessly interrupted.   Other signs of poor service showed up when:   - the room was not cleaned at all on our second day. Used Towels were left the way it was in the bathtub, kingbed lay unamde. We called housekeeping to request for cleaning. Again, acknowledged but ignored.   - I voiced out my disappointment to the receptionist on their WhatsApp. They did not have the sincerity or courtesy to apologise for their negligence. They sent the housekeeping to address the twin bed configuration issue at night, at a late hour but by then honestly, I didn't want to deal with the change + my children being fast asleep.   Feeling ignored, and forgotten as a guest is perhaps the worst feeling while on holiday. I rather regretted choosing this hotel.   I would rate the service is there was one. There are many service providers ,but little service.   Two plus points about the hotel: The breakfast buffet and the location. But I could have done better research and picked literally any other hotel around the Marina area and had a better holiday experience that guarantees two basic requirements: sleep and responsiveness.   Mandarin Oriental Singapore is definitely a hard pass. We have absolutely no desire to return to this hotel. No longer a ""fan"" of M.O.…",2,October 2022,
Centrally located amazing Hotel,Ankit B,"Stayed for 5 nights with family. Plus points - 1. Location - Centrally located, we could walk up to the Marina Sands Bay, Gardens of the Bay, Singapore flyer or the Merlion. The Hotel is also connected to the 2 large Malls. Airport was about a 20 min drive. 2. Room - Fully carpeted with floor to ceiling window. We had booked a city view room. Would highly recommend booking Sea facing room. 3. Service - Great staff. We requested a stroller for our kid and the same got arranged. The hotel allowed delivery of food ordered online. 4. Breakfast spread was amazing. Overall an amazing stay. Will come back.",5,May 2022,
Simply the Best,Gracie2010,"I cannot wait to go back. Plain and simple. The hotel ticks every box and even more. Booking a club room was definitely cherry on top.   Our room had the most amazing view of Marina Bay! The room itself is spacious and the bathroom was huge.  The offering of breakfast, afternoon tea and pre dinner drinks at the club lounge was worth every penny! The staff were so gracious and helpful we couldn't help feeling sad by the time we left!",5,September 2022,
Exceptional service,Duncan707,"Stayed here for the F1.  Check in smooth and detailed. Room clean and good size with an absolutely phenomenal view.  Bathroom - shower was very small and the water temp fluctuated slightly every 30-60 seconds. That is my only grope - we moved from here to Shangri-La and it was an inferior hotel in every way except one as the shower was much larger and consistent.   Pool area - amazing. Iced water, mango sorbet, cooling leg spray, sunscreen - all complimentary and service was top notch.   Breakfast - brilliant. Absolutely brilliant.   Expensive",4,October 2022,
Great location,Andy S,"Just spent 3 days here, prior to F1 so a little busy.  Check in was quick and efficient.  Hotel lobby is very dark and dated and not a very welcoming entrance.  Almost identical to the Pan Pacific. Rooms were well fitted and pleasant, we were upgraded to a sea view, WOW what a view, the singapore flyer, gardens by the bay, marina Bay sands all in view, absolutely stunning. Pool was fantastic, personal service, small treats through out the day, iced water, frozen fruit, ice lolly handed out for, lovely touch.  Towels placed on sunbeds for you.  Lovely staff around the pool. Location for Marina Bay is fantastic, everything is nearby, one of the best locations in Singapore. Breakfast was one of the best Singapore offers, also with Al Fresco dining, great staff, attentive and pleasant.  Really felt special and treated with kindness.  Thank you Pauline (chef) for making my pancakes extra special. Highly rate this hotel, but the lobby is a let down being dark and un inviting. Always love the M.O. Hotels, having stayed in K. L. as well, just as good. We are certainly Fans of M.O. Well done to all staff…",5,October 2022,Travelled as a couple
"Stay at the Mandarin Oriental, Singapore",GK,"We stayed at the Mandarin Oriental for 3 nights in May '22. We had booked into the City Suite and when we reached the hotel around noon to check in, we were told the room wouldn't be ready for another few hours, and we were given a base category room to freshen up. But the room was ready only around 6 pm, which was okay with us since were out exploring the city till late evening. When we did enter our room, we found that the AC vents in the room were very unclean, and the room carried a musty odour. This was around 10.30 pm, and we were completely exhausted. It took more than one call to get someone to come to the room and attend to my complaint. A few more minutes later, thankfully, a slightly senior member of their management team turned up and attended to our concerns, and was able to offer a better room. I believe her name is Maggie/Margaret. She was definitely understanding and even ended up upgrading us to a Bay View Suite, which we really appreciated. Maggie (I really hope thats her name - I had written it down somewhere but dont have that slip anymore) salvaged the situation.  As for the rest of our stay, the breakfast spread is good, and offers a decent selection for everyone. What does bother me - and this is not particular to one hotel - is the limited selection for vegetarians. My wife and I are practicing vegetarians and therefore find it a little difficult to spot a buffet that has enough options for vegetarians. The Mandarin breakfast was nice, but not exceptional, as we hoped it would be.  Another thing, and this is pretty important to me, I wanted to point out is the mattresses. We woke up with a sore back every morning because the mattresses were just not right. We are not very picky about these things usually, but this time we had to highlight this. This is usually a sign of the property ageing and the management not giving it enough attention. I hope something is done about it.   Overall, a decent stay, and I may consider another stay if the rates are competitive. Let's see.…",4,May 2022,
Exceptional Service,Clara_miracles,"Was at Mandarin Oriental for a 2 days business training. Alice was assigned to our room and was always friendly and helpful, ensuring everyone had coffee and tea. Impeccable and warm service. Could tell Alice was very passionate about her job. Highly recommend if considering for corporate events.",5,September 2022,Travelled on business
Nothing less than Exceptional,Cols71,"My cousin and I stayed at the Mandarin Oriental hotel for 5 nights and was blown away by the service and hospitality of the staff. We stayed in a Marina View room which did not disappoint and I looked forward to going back to the view every night.  Every morning and evening it was such a pleasure coming to the reception area, as the stuff were so welcoming. Thank you to ALL the staff at, we had an AMAZING STAY.",5,August 2022,
5 star hotel that is far away from being luxurious,Leonie E,"We already stayed in many MO hotels over the world but this one purely lives off the reputation of the chain name. Rooms look shabby and unrefurbished and give the feeling of a 3 star hotel but the price per night is very expensive. The service was very not up to standard, the room was cleaned poorly and drilling works at 12 o’clock at night were the cherry on top. The first night we had a fish that was super smelly and we couldn’t eat it and went to bed hungry. The room doesn’t even have a coffee machine, there’s only a water kettle and a sachet of instant powder. Really nothing is right about this hotel except the view. Whenever we complained we just received a shy sorry. Such a rip off this place, wow!",1,September 2022,Travelled on business
Annual Office  Lunch,Mystices,"Had a very successful annual office luncheon today. The senior manager of the event management, Roger is very accommodating to all our reasonable requests from day one to the day itself.. The operational manager Daniel, on the day itself was just as helpful and even make last minute adjustments to our table arrangements which we were very thankful.  Feedback on food was good and more than sufficient. The fish was fresh and the desserts not too sweet.  This is the type of service we would not hesitate to return in future. The staff made everything so smooth and easy for their guests. Also not forgetting those in the kitchen and service staff - A Big thank you! Keep up the great job Mandarin Oriental !!",5,September 2022,Travelled on business
