Review title,Username,Review,Rating,date,traveller_type
Fantastic Hotel - A Must Stay,Paul C,"It was my first time to Singapore which was for the F1 and I am so glad I had the chance to stay at Marina Bay Sands. What an experience and what a hotel!! The service from check in all the way until check out was incredible. Spacious rooms, attentive staff, complimentary mini bar plus the famous infinity pool are a must for anyone looking to stay. The countless food options and top restaurants on site are fantastic for any foodie. Can’t wait to be back and will only stay at MBS!!",5,September 2022,Travelled with friends
MBS a luxurious destination,bengch,"We are a family of 6 ( my 85 yearold father, 79 year old mother, my sis-in-law and his sons flew in from Canada and myself ),the room upgrade (Merlion Suite facing gardens by the bay)was very much appreaciated!My 2 nephews flew in from Canada and were celebratin their birthday as well, so having us all in 1 room was a big surprise as well as  the complimentary cakes.The suite was of course luxurious, the complimentary tea, coffee, drinks and chocolates were a big hit.Booking is simple online, the check-in process could be improve especially for the unintiated like where do we look for the queue numbers although 1 unpleasant encounter was when a guest claimed that our queue number was his and proceeded to the counter , I was baffled as the prompt in my phone stated my check-in was completed already while we are still queueing  up behind the counter. I needed to asked for help for this and turned out the guest claimed he has our queue number, the receptionist just proceeded to check him in without counter-checking like asked him to show the queue number from his phone. Anyway, the staff whom I called for help come to out rescue and all is good again.I am also gratefull that the wheelchair I requested for my 85 year old father was sent straight to the room, should’ve asked for my 79 year old mother as well If I only knew it would be easy to request.The room service butler was very responsive and the staffs sent to us for assistance for our needs were very respectful, knowledgeable and attentive , kudos to Leah( room -in dining dinner, very promptly she set up our table and has very friendly attitue)Cecil( gave the surprise cakes , she is very amicable and friendly)Nadrajan( our first contact after check-in, he asked if the wheelchair will be used at that time or we prefer to send in to our room and before he left the room he distinctly explained about what butler phone can do,the key cards although he explaine the electricity card but we cannot find the slot he was saying) ,the guy who brought our ice cubes whom I failed to get his name and the one who enlightened us about the electricity acrd which our room does not need to use it,the guy who brought in our breakfast but I failed to get his nameLaura from Infinity pool whom you can tell her sincerity in making sure we are taken cared of , she asked Leo to assist my dad and mom while they are visiting the pool. One not so good experience was during breakfast when we went down to RISE restaurant , our 2 rooms originally booked does not include breakfast but from what Mary staff from check in told us that we can go to RISE or SPAGO for breakfast without reservation, so when we queued up the staff from RISE asked for my name and room number and when she checked our original room has no inclusion of breakfast but I asked if we can still eat and pay , she said no so we just went back to our room and ordered in for room service. I called and checked why we were sent away, the phone butler staff checked then called again and claimed there was no record we approached RISE eventhough restaurant staff asked to spell out my name and after awhile called us to head down with already a table reserved for us but I declined since we already ordered for breakfast room service. I failed to get the RISE staff’s name as we were  already flustered, anyway we moved on after that since we have the breakfast in our room already and proceeded to the Infinity pool, of course the reason we booked at MBS was the pool and we were not disappointed , from the booking for the date slot and the messages sent whether the pool is temporarily closed because of the inclement weather as well as its opening once available is very much helpful and as I mentioned Laura from the Infinity pool is a darling, she is very sincere. The photo also was an experience, the photographer was friendly and does not impose, it’s nice that other than the printed photos, the digital photos were available to the guests. Check-out was easy as can check out from the TV although as 2 rooms initially was booked only  1 room was billed and able to check out from the TV so needed to check put from the front desk , Victor helped us out from the front desk to check out and settle our bill for our stay. The Merlion suite of course has the wow factor already its spacious and clean,the furnitures are comfortable, the mini bar was well equipped, the toilet in the bathroom can have a bidet perhaps , the bathtub is super comfy, the massage room and the hair washing room does not come with any information how to use it though , the downside of staying in the Merlion Suite is we almost refused  to leave the room. The overall experience we had was very memorable, and yes we will come and check-in again…",5,July 2022,Travelled with family
Debit card charged without refund after check out 1 month ago,Kelvin T,"Stay from 05 sep to 08 sep 2022. Hotel requested a security deposit of Sgd 400 which i offered my debit card.  To my horror, it was debited rather than hold charge. After 1 month, i queried the credit process back to card. However, they said they paid me in cash during check out when i check out via express boxes which we simply drop the key cards to a machine.  Im still pressing for an answer. I suspected they got mixed up with other rooms.",1,September 2022,Travelled as a couple
Best View of Singapore,Adarsh Prasad J V,Marina Bay sands is a must visit place for anyone who would like to view Singapore from top. I would recommend you visit in the evening as there is a light show which is awesome and also the sky scrapers and everything around you is lit up and its breathtaking. Would highly recommend this for everyone visiting Singapore.,5,September 2022,
The New Icon of Singapore,JoonBond,"One of the best hotels in Singapore, the garden view has an open balcony, and the city has the most spectacular view of the Marina Bay area, including the water laser show, Spectra.  The Garden view is to see the sunrise; the city view is to see the sunset. Booth ate a spectacular view.  During special occasions, taking a city view is a good choice.",5,July 2022,Travelled as a couple
Excellent,melbournewato,"We stayed at Marina Bay Sands for three nights.  This hotel was excellent and as we loved the pool.   However, out of all the hotels I have stayed at, I would like to say a special Thank You to Marina Bay Sands.   On our holiday (we went to a few places), my 10 year old  son became ill and became dehydrated.    By the time we reached Marina Bay Sands, it was becoming obvious that he was not well.    I contacted the front desk and the staff organised an ambulance and a doctor to come to examine him.  Marina Bay Sands security helped take my son in a wheelchair to the ambulance and assisted us with our passports and details we would need to take to the hospital.  The  staff at Marina Bay Sands simply went above and beyond.  My son went onto make  a very speedy recovery after going to A&E at the hospital.  Yes - I thought the room we had was excellent.  The hotel was wonderful and such a good location.    Above all though I would like to say a heartfelt thanks to the staff who really did care about us in our hour of need. I would like to say heartfelt  thank you for making us feel so special and taking care of my son while we visited Singapore.  Thank you.…",5,September 2022,
A Hotel that is heaven for Adults but not great for families/kids.,Rashaan Tristan Ji Chand,"We arrived in Singapore as a family. Beforehand, we arrived to 2 different hotels that were cheap and reliable. When we first arrived to Marina Bay Sands, we were stupefied to see how many adults were in the hotel. At that time, it was school holidays in most parts of the world. The check-in time was at 4:00pm as well. When we first arrived to our room, it was pretty standard for a $1000 SD per night hotel. Nevertheless, the facilities were superior for adults. Consequently, Marina Bay Sands is a great hotel for adults ONLY.",3,October 2022,
Surprisingly personal service at this huge hotel,Martin J,"It's an enormous, sprawling hotel, and the check-in experience was similar to checking-in at an airport - not ideal.  However, it was clear after a few encounters with the staff that despite the fact that we were 4 people of thousands of people passing through,  that this hotel was special.  Each interaction with the superb staff felt personal and the staff were fully invested in us having a great time.  I'd single out the following staff for exceptional service:  Concierge (and Clef D'Or holder) -  Muzaffar - he went the extra mile to help us book our night safari Pool-side manager - Maurice (one of the nicest Aussie's I've met) Pool life guard - Mo ( a one in a million character)",5,July 2022,
Singapore’s best,Maan F,We had such a lovely time in MBS! The service is outstanding and the facilities are simply amazing. Singapore’s best hotel totally did not disappoint. Plus points that we were given a generous upgrade from Garden view to City view.,5,August 2022,Travelled with family
Vegas at Singapore,Arvind_Meera,This was my 2nd time at MBS. I had a great stay. I would like to say that this time I experienced an even better service. The room service was very prompt. The waiting time for breakfast was much less. Also the breakfast selection was very nice.  The staff was very helpful as I had arrived early and the check-in executive gave me a temporary card to access the pool and the health club so I could relax and shower by the time my room was being readied up.  The views from the hotel is undoubtedly amazing.,5,September 2022,Travelled on business
