Review title,Username,Review,Rating
Merely average accommodation in Singapore,Sameer R,"I stayed here for 4 nights while on business in Singapore.  As others have noted, the location in the Marina is quite good as its walkable to Marina Sands, and there are several adjoining shopping plazas.  This was the principal reason for selecting this property as we were hosting our annual meeting as well as attending conferences at Marina Bay Sands.    I used their airport transfer service as the attendant was waiting for me just outside of baggage claim and quickly whisked me to the hotel.  Check in was quite quick and efficient, and I was given a club room (3502).  The room itself is adequate and of average size.  The bed comfort was ok, and the bathroom was a little dated.  I did have a decent view, and the accompanying club lounge was also somewhat average.  It only opens at 1p, and I found the canapes to be not that great.  Similarly, the buffet breakfast selections were not that tasty as they recycled the same items daily.  The coffee was atrocious.  Fortunately, the fare at their signature Japanese restaurant is very good, and I would return.  Other Cons - Service was somewhat inconsistent.  While the check-in folks were great as was the hotel operator, the restaurant staff were slow and not as attentive. - Lacking attention to detail.  The elevator buttons, as an example, didn't always work, and I had to push them multiple times even after registering my key card.  Also, they didn't leave out any sanitizer to clean workout equipment.    Again, I think its an average hotel at best, and I would consider an alternative next time I'm in Singapore.…",3
Pan Pacific - wonderful,Michaela230000,"Beautiful hotel, perfect location, great food, wonderful facilities, brilliant staff. My second time. Outstanding pool, gym, food restaurants and buffet - wow. Lovely room. Could not have chosen better.",5
Celebration dinner,manidab2016,"We came over fora family birthday celebration.  We were seates at the teppanyaki table, and chef Tommy Yeo hosted us.  His cooking was amazing and he has a great sense of humour.  Our favorite dishes were the beef tenderloin and the garlic fried rice.  We had a great time and will def be back.",5
High tea,Ashrina Majitha,"Went with a friend (2 pax), and had the afternoon tea with Bacha coffee (chocolate hill and pistachio)  Loved the sweets! Savoury options were fusion with Asian cuisine. Great steady service, especially Alan! Great experience.",5
Pan Pacific Singapore too good,Vlado B,"As a 20+ year Grand Hyatt guest, I found myself looking for a new location due to the recent closure for renovation. Having to build a relationship with a new property takes time and can be so hit and miss.   I was recommended the Pan Pacific Singapore at Marina Square, so I thought I would give it a try.   Let me tell you the property is well maintained and the staff are delivering a very high standard. I was there for four days, and every interaction was a pleasure. My room was pristine, and the views were awesome.   I dined at the Edge for breakfast which was included, and the multiple buffets were so extensive I didn't know where to start.   The Atrium lounge in the lobby was huge and perfect for casual meetings as I was there on business.  I couldn’t recommend this location enough, Staff 10/10, room 10/10, restaurant selections 10/10. Location 10/10.…",5
A great stay at this iconic hotel.,Stuart S,"Check in was speedy and check out was flawless. Breakfast at Edge was impeccable every day, the ambience was perfect, the welcome from the front door was as expected. The room was clean and the service from Service One when I called every day addressed me by my name.",5
New menu is great but,Justin Loh,It’s value for money but pls consider the following  - more savoury and balance out the sweets  - more variety for sweets. Less chocolate types and more fruit type of cakes?   Overall it was a great experience and impeccable experience.,4
Great hotel in a super location,Phil C,Great hotel in a superb location - stayed in a club room so get access to the 34th floor and it is worth lying there extra. All staff were great - friendly and helpful. Room was really nice with a great view over the city and the scenic elevator to the 34th floor is very impressive,5
Dinner,Aileen,Chef Tommy was extremely friendly. He was engaging and chatted with the guests. He has a very outgoing personality and the guests love him! He’s a keeper! Please send him our best regards! The next time we come we will want to make sure he’s around!,5
incredible service and experience!,— 🫶💗.,"i was served by Shermaine in Pacific Market Place and she was super friendly and down to earth. she greeted me and took the time to explain the food in the menu one by one and recommended me the most popular and nicest ones as i couldn't make up my mind on what to eat ☺️ i was so shocked and surprised when she said she's below 20 because she looked very mature. she was very kind and polite as well 🥹 it's really nice to see young teenagers like her having the right attitude and basic manners/courtesy!! i enjoyed my visit there thanks to her 🥰 Shermaine, shout-out to you and thank you so much for your awesome service!",5
Pan Pacific Club Lounge level,CarolW_11,"Quite expensive to stay in the Club Lounge level,but well worth the extra for the high floor, free breakfast and lounge access. The Singapore Slings in the club lounge are awesome. Really comfy beds and everything you could possibly need.  The staff are super friendly, nothing is too much trouble.",5
None,VAN,"Great ambiance, Cozy Room, Scrumptious Breakfast, Kind Staff. Hotel has nearby access to Malls, Restaurants and SUNTEC Convention center.  Overall it was a great experience staying at Pan Pacific Singapore",5
Weekend dim sum brunch,Wayne Tan,Good food and the customer service is friendly and approachable towards customers eating here for the first time. Our server kelly offered to serve dishes without any prawns when she realised that one of my family members did not like prawns so i find this action of hers very thoughtful and caring towards the customers she serves,4
Birthday celebration,ngkhk,It was a good experience. The savoury and especially the sweets were delightful. There was a welcome drink (papaya cold brew) served before the actual high tea and the ambience was relaxing and soothing with live piano music.,5
Great experience,Jill,"Visited the place for the first time for our company’s management board strategic planning meeting and dinner. Made our first visit memorable thru excellent service, good food, very approachable staff (Cris & Blair)",5
Excellent,Ant,I have stayed at this hotel many times and always received excellent service. The Edge restaurant for breakfast and other meals is excellent. Definitely worth upgrading rooms so you can use the Pacific club on the 38th floor. One of the best views in Singapore.,5
"Great food, service and ambience!",Boon Kiat P,"Great experience, food and service from Samuel, Lee Mee and Kelly were exceptional.  They were attentive, friendly and just all around excellent. Would return to Hai Tien Lo in a heartbeat - location and space was excellent for a business dinner.",5
Lovely food with nice ambience.,Gaclyn T,"Food is enjoyable and delicious.  Ambiance also perfect with live piano music in the background.Came during the weekdays, quiet and slowly enjoying the food and atmosphere.  Since it is a birthday celebration, the cafe also gave a complimentary cake.",5
Ms Lee May,Lee May,Service & recommendations by Ms Paulyn & crew were great! They made our dining experience @ Hai Tien Lo a memorable one😊 Their signature dishes were very delicious! Am definitely looking forward to my next meal @ Hai Tien Lo!,5
Great teppanyaki dinner with chef Tommy yeo,Keith N,Had teppanyaki dinner at Keyaki with chef Tommy Yeo. Seafood was very fresh and meats of good quality. Great service and well cooked dishes. Dinner was also well paced with pauses between dishes that were neither too long nor too quick. Will recommend,5
Keyaki teppanyaki,Jason K,Keyaki has a beautiful koi garden outside the restaurant. We sat at the counter seats and really enjoyed the meal prepared by chef Tommy Yeo. Nice to chat with the chef while he grills. Ask for the ‘magic’ sauce!,5
Birthday Dinner,Ryan,"Food was amazing, service was 10/10, service was above and beyond by waitress ShaSha, she was friendly, helpful and filled with proactive energy! Even was nice enough to take a pic for me and ny partner! A night to remember. 🎉",5
Awesome teppanyaki at Keyaki,Lorrainelee591,"Food was tremendous- melt in your mouth wagyu beef, and really fresh prawns, scallops.   The staff were really knowledgeable about my gluten intolerance and had gf soy sauce readily available.   Sit at the teppan counter and ask for charismatic Chef Tommy Yeo!",5
Superb Teppanyaki,Kai,"Fresh, quality ingredients coupled with Chef Tommy’s skills really made our night. Top notch service from the staff as well. Do try to book the teppanyaki counter early to avoid disappointment. otherwise you would have to op for the dining area.",5
TEN set meal,Jack@SG,Beef was very very good  Lobster was very very good   The 200 min letters is very very stupid   Whoever though of this should be just shot dead   But the beef and lobster is seriously good   And I need 8 more letters,5
Pleasant experience with great service,Mae,"We went for a teppanyaki lunch with the family and Tommy Yeo was our cook. He is very attentive and cooked all the dishes beyond our expectations, it was a very tasty meal. He even went beyond to arrange for a birthday surprise for us.   Will definitely come back again! 😊",5
Dinner at Hei Tien Lo,Family,Ambience is great! Service staff are friendly and always put on smile though very busy serving customers. Special thanks to Paulyn who attends us and put in her best efforts to meet our special diet =),5
Professional and Friendly Teppenyaki Chef @ Keyaki,William,"I had a wedding anniversary celebration with my parents and wife at the Teppenyaki counter at Keyaki.  The chef who served us was Tommy Yeo. Tommy was very friendly and courteous the whole time. His  cheerful attitude and great service gave us an enjoyable experience. Moreover, the food he cooked was great and tasty.   Thank you Tommy!",5
High Tea,Threefatbees,"It was a pleasant experience with Kishore who was very helpful and attentive to our request anytime we need. He showed a good customer service and friendly to us. Together with Alan, who patiently introduced each food to us. I will definitively come back again when my friends. Great customer service ever!",5
Excellent service by janice!,Tiffany,"Stayed at pan pacific for 4 days 3 nights. As our hotel room includes breakfast, janice remembers us despite seeing each other once. She obliged when we wanted to change seats and reminded us that our club room has perks of sitting near the view area.  When we went for breakfast the next day, she happily greeted us and gave us a more cozy space where it’s more private. We would like to compliment her excellent service and all other hotel crew who remembered us. We enjoyed our stay here and will be back again!",5
Most memorable stay in SG City Centre,eciralc,"Having stayed in so many hotels locally in Singapore and overseas, Pan Pac Singapore really stood out with excellent hospitality. The room, facilities, and building reflects the 5*. The panoramic room booked is clean, big, and modern. Bath salts are provided amongst other amenities.  Location is just a stone’s throw away to Millenia Walk, Suntec City and Marina Square. It’s impossible to run out of food options in the vicinity.  The service is amazing from check in, to breakfast, to checkout. Amanda checked me in and could even remember and addressed me at checkout. Takes a lot of dedication to remember guests she interacted with despite meeting so many on a daily basis. I’m deeply impressed by her level of service! She very kindly offered late check-out with a very affable…",5
Teppanyaki Dinner,Jia Han T,Was very impressed with Chef Tommy Yeo. All the staff were friendly and courteous. Really enjoyed our night here.   Must ask the chef for their garlic chips. They are very nice and engaged us while cooking.,5
Birthday dinner,Tingting,Many thanks for such a wonderful and stress-free evening on a Wednesday! The food was so delicious. The evening went very smoothly and Tommy was super friendly and informative.   Will definitely be back to find him again :),5
Javi-Pan Pacific Singapore,Arisa C,"Javi- The reception provide excellent customer service. She makes us feel like home. She is a great asset of the property  Thank you JAVI for your excellent and warm hospitality ❤️  The location of the hotel is great , breakfast is fantastic  We will definitely stay here again.",5
Great Service Convenient Location Stunning View,Susan R,"As an elderly couple one of whom was disabled by a Stroke we found the Pan Pacific Singapore a great place to stay. The Staff were very pleasant and helpful, there is a massive Shopping Centre attached to the Hotel via enclosed walk ways and taxis are an extremely inexpensive way to get around. The view from the 30th floor was stunning at night.",5
Great location good facilities,IntrepidLondoner,Great spot and the hotel is v good overall. Rooms need a little updating I.e need a bar fridge and updating of tv stand tv etc but overall v good comfy bed and pillows great gym and pool area great to relax by,4
Edge buffet lunch at Pan Pacific Singapore,Hong Joo L,"Utterly disappointing, tasteless and unappetising spread! Unfriendly food counter staff piles up on the decision making moment that this would be my last visit.   Sad that I'm a Discovery member too. Hope the head chef would look into it.",1
Excellent restaurant Hai Tien Lo ,Bobby Ang,"Pan Pacific Singapore Hotel   Great lunch with family in Hai Tien Lo Chinese restaurant, the food was nice and service is good..   Fantastic served by Patrick Tan... My kids are happy with the food here expecially noodles and dim sum... Will come again 👍👍👍   ",5
Fantastic experience at Hai Tien Lo,Shirley Eu,"Hai Tien Lo @ Pan Pacific Singapore did a fantastic  job with my son's engagement dinner.  Their hostess Genevieve  was most efficient in assisting all my enquiries through to ensuring all my requirements will be taken care of on the night.  Special thanks to the assigned service team for that evening - Kelly, Weijian & Huiqi who did a marvellous job in rendering their excellent service from start to finish on the night.  Everything went smoothly without a hitch.    All my guests enjoyed the scrumptuous dishes, a sincere compliment to the chef and crew.   I found out later that a guest couple had their engagement dinner at Hai Tien Lo a few years ago and they were very also impressed with the food and service then. It just goes to show that Hai Tien Lo endeavours to consistently…",5
Partners birthday celebration,Sam,"Had a staycation at the end of August 2022 to celebrate my partners birthday. The surprise was a success and the room was great as well. The view of Marina Bay was breathtaking, which added value to the celebration as well.   Special shout-out to Bobby, Shawn and Xin Fang for the hospitality when I checked into the room. They assisted me thoroughly at the front desk. Thank you for making the experience special for both us 💪🏻",5
Great teppanyaki weekend brunch,badoet,"Great lunch with family.  Highlights: miso oyster is awesome, sashimi,  grilled beef and pork don Super beautiful japanese garden with lots of koi fishes Very satisfying japanese teppan meal. Served by Tommy Yeo",5
Worst staycation ever!,celesgoh,"This is the WORST staycation EVER!!! TRY AT YOUR OWN RISK.  Visited precovid and they were decent so decided to book it for my girl's birthday celebration. Requested for a baby cot twice, upon booking & checked in at 2pm but at 8pm when we returned from dinner, the cot is not even in. I called and they said will expedite. 9pm, cot still not delivered and it was passed my kids bedtime. Called and chased and finally cot arrived at 9.30pm. Requested for 2 sets of kids amenities but only 1 set was delivered (2 kids) and their excuse is that their supplies are running low so they cannot give me 2 sets...   We did inform the hotel during checked in that we are celebrating birthday but nothing was provided. So I thought this hotel just doesn't do something special for the girls for…",1
Brilliant stay,janibowe22,"We accepted an upgrade for a reasonable amount not expecting the room to be a suite. Fabulous room , the club lounge with champagne is fabulous. All the staff do their upmost to make your stay the best. Thanks Chrystal in the club lounge. Breakfast is great with so many choices. I would certainly recommend",5
Family dinner at hai tien lo,Evelyn,We enjoyed the service at hai tien lo. Dining experience was great. We were served by Paulyn Xiao Liu. She's a very friendly staff. Knowing that I'm celebrating my dad birthday. She make extra step to help me keep the secret and serve us shou tao. Will go back for dining experience again,5
Dinner Visit - Father-in-Law’s Birthday,Matthias L,"Served by Sha Sha, very attentive to our needs, continually checking on food quality, beverage post dinner, tidiness of table, and even prepared a birthday cake for my Father- in-Law. Jovial in nature, Sha Sha has very strong interpersonal skills, very personalized and well-mannered. My in laws are very happy with her service. Please send our compliments to her manager and keep up the good work! This is what customer centricity is all about!",5
The perfect staycation,KingMing,"Celebrated my daughter’s birthday at the hotel, every aspect of the establishment met my expectation. Very good location, stone’s throw from Suntec and Marina Square.   Service: Excellent, staff were all well trained, warm and friendly. Lanky counter staff (Jonathan) was professional, genuine and thorough, proactively suggested kids activities and was friendly to my daughter.   Room: Jonathan apologised for the renovation noise we may experience, but we did not hear any drilling or knocking throughout the 3D2N. Soap smells very nice.   Edge: Food and service was nice, variety was good, porridge fantastic. Female China chef makes gorgeous and delicious omelette. One auntie staff kept removing my cutleries whenever I leave my seat for seconds, not great.   Pool: Nice and clean,…",5
Comfortable stay,Rachel P,"Hotel is right in the centre and walking distance to most things, pool on the roof is great and amenities were very nice. Breakfast was really good and so much choice ! We stayed as a family in an interconnecting room ( 4 Children - 2,4,6,8), visited the outdoor food market and raffles long bar ( kids are also welcome here )",5
Good value and service,Pat Y,Had the dim sum lunch buffet with my dad. Both of us enjoyed the spread.  There was a good variety and the quality was great for an a la carte buffet. Service was excellent and swift. Server Paulyn was especially attentive. Would definitely come back again.,5
None,Vamshikiran,"It was a good stay on a business trip, the staff is courteous enough for all the requirements. The only request is to have one more option of Indian Breakfast other than Idli Vada. Rest all is well maintained",4
Superb hotel!,Seb B,"We had such a superb stay here. We stayed on the 15th floor and we given the option to check in early. After our flight landed at 8:30 this was greatly received. The amount of space we had in our room was great and we were pleased with how clean and tidy it was. Breakfast was ace, we were looked after very well.  If we ever find ourselves in Singapore again we will definitely be staying here!",5
Birthday celebration,CL1977,Chef Tommy Yeo is excellent and very experience. He is very professional and cheerful. First time sitting at the counter and Chef made is very pleasant and enjoyable. Definitely will come back again. Thank you Chef Tommy.,5
Great food nice Chef!,BT,Had a wonderful meal at Keyaki tonight. Chef Tommy was a great host who accommodated all our preferences. Service was a bit slow on the drinks side but overall everything was nice and enjoyable. Would likely return :),5
Business lunch,Joshua Chen,Awesome food and service! Paulyn introduced each dish down to the details. Great experience. Been to many Chinese restaurants and hands down one of the best restaurants! Will definitely be back again.,5
Birthday,Tply,"Tommy is a very friendly chef. He cracks joke with us while he was preparing our food. We had lobster, beef, salmon, prawn, scallops and rice. All cooked by him and its super delicious and perfect! Highly recommended 👌",5
Birthday,Alex,Tommy is very friendly and nice. He can serve and talk to customer well. The food he cooked is very delicious and well made. Love to be serve by him the next round when I visit here again 🙏👍  Highly recommended!!,5
"Professional staff, View of Marina Floating Platform, Breakfast could be better",maryyeo,"We had various unique questions and requests, and the reservations team was prompt and professional in handling them. Thankful that they arranged for us the two conjoint rooms with the best view of the National Day Parade happening on the Marina Floating Platform, and we could witness all the live action of the parade from the comfort of our room. Checking in and out took less than five minutes each, even though they only had two staff at the Front Desk at any one time. Front desk manager Alicia was quick to come out of her office to offer assistance whenever she noticed that guests were in the queue for a few minutes. Amazing proactiveness.  Location-wise, it is amazingly well connected to Marina Square, Suntec City and Millenia Walk as they are all less than 3 minutes' walk…",4
Would not correct error in reservation. Completely non-responsive,ronazevin,"I made an on-line reservation for this hotel and the dates came up wrong - wrong month, wrong year.  I immediately tried to contact them, but had to wait several hours as the office was not open.  After being cut off twice (I think the office is in China) I was told to write an e-mail.  Then I got a response that they would not correct the ""non-refundable"" reservation.  I'm extremely frustrated as I won't be in Singapore when the reservation is dated.  Its not a cheap hotel, so I won't pay $1500 for an error from their website.  BE VERY CAREFUL IF YOU BOOK, OR BETTER STILL, PICK ANOTHER HOTEL.",1
Teppanyaki,EG,"Good selection of food.chef Tommy has been very welcoming and friendly..has extended a great deal of effort in making sure our food is accordingly to our expectations.even take up the role of the server whom are missing, clearing the plates for us. Kudos tommy",5
Mr,Jonathan S,"late house keeping, slow response from bar, waiting for ages on response , found the staffs from the bar were totally ant slow.  the housekeeper were always late even i called up the hotel to record specific timing that i will be away.",1
Keyaki food,Hakim Ting,Tommy Yeo was our chef.  Very friendly and courteous .  Execelent service and food.  The beef teppanyaki was excellent and was a highlight of my meal. This however doesnt overshadow everyother food on the menu.   It was a fine dining experience throughout   Will definitely recommend to everyone!,5
Comfortable Hotel Option,Nick G,"3 night stay in a City Suite was a comfortable experience. Check in process was quick, staff friendly and room was available early for us to access.   Room itself was spacious, pretty well appointed with good electric block out blinds, big Samsung screens in both the bedroom and separate lounge, well appointed bathroom with good water pressure, and a second toilet near the entry door which was handy.   Fridge was on the small side whuch limits your own storage of cool drinks. Mini bar was  complementary and contained the basics, but was not restocked during our stay. Plenty of bottled water was available though and was restocked each day.  The room we had was weirdly not on the same lifts that service the Pacific Club lounge so for us was Level 11 down to Level 4, change lifts,…",5
Birthday Lunch at Keyaki,Mark Wong,"Went to Keyaki for tenpayaki lunch to celebrate with my sister. We were served by chef Tommy, he was very friendly, detail (advise on the sequence to start eating when the dish was served for best taste) and skilful in displaying his teriyaki frying skill. We were also surprised with complementary mini birthday cake and a birthday 'card' made from salt on plate. Highly recommended.",5
Great Location,samandgary3,"My wife and I stayed in a standard room for 5 nights in early January. The hotel is in an excellent location just a few minutes walk from the Bay and its attractions and it is also very close to the Singapore underground which is excellent. Breakfast was really good, lots of choice and service was also excellent.  Very happy with our stay and we would stay again if coming to Singapore.",4
Dinner at the Edge,Bella,"I throughly enjoyed the food and the excellent service from Steven. Even though the restaurant was crowded, the waiters and waitresses were all very efficient. The food was good however the selection became smaller as compared to pre covid times. Still a good experience nonetheless",4
Excellent service,ilovepomme,Celebrated my father-in-law’s 90th birthday.  We had a good time as we had booked the Ruby private room in Hai Tien Lo. A big Thank you to Genevieve.  She has been so helpful in replying to my enquiries and emails very promptly.  Also to Michelle and Uncle Chow who took care of us with all the yummy dishes and our requests.  Really appreciate it.  We will definitely be back.,5
