Review title,Username,Review,Rating,date,traveller_type
Resting on Laurels …….I will not be back,AA1463,"I visited around ten years ago and the standards of this fine company have dropped at this location. Having been in the hotel business for over 20 years the British GM has lots of work to do……… Observations on this trip to see the Grand Prix.  It seemed to be a surprise to this hotel that the largest event in the City meant it was full! One of the reasons for booking is the regular shuttle to Orchard road for the MRT. However as occupancy has been low they kept the shuttle at only 4 times in the middle of the day. This is critical when competing against all of the many fine Marina Bay properties  Worse was to follow at Breakfast in The Line…….Huge full hotel and guess how many on duty at the egg station…..ONE Chef……I discussed this with him and another colleague was away on holiday ,over the busiest time the hotel has seen in 3 years ! Amazed in a 5 star hotel no bar open after midnight on arriving back from the city …a lost revenue opportunity indeed. Saturday night there was not a single staff member anywhere to be seen including the front desk when we got back! The Pool area is nice….however the Jacuzzi is broken and confirmed to me it had been for sometime by a staff member on duty at the pool…….not very Shangri- La…..I expect better.  Anytime we had issues,there is obviously zero empowerment for the team as all they do is apologise but do nothing ….when my Bill was wrong in checkout ….3 people had to review it before amending. I will not be back on my next trip.…",3,October 2022,Travelled with family
Fantastic stay in a great hotel with great staff,graham_ward,"We had a short stay at the Shangri-la on our way to Vietnam but it beca e the highlight of our trip. From the moment we arrived to the moment we left we received amazing service. The people who stood out were Yana on reception and Rajagopal, the  cheif concierge.  Yang went to great effort to find us a room when we checked in early. My wife is disabled and needed a rest but our room wouldn't be ready for some time. Yana negotiated a beautiful upgrade for us a d did everything possible during our stay to make is comfortable for us, especially my wife. Rajagopal was an enormous helper every day, giving advice, booking excursions, finding taxis and much more. I think he had the biggest impact on our stay. Our room was beautifully presented and well maintained.   It was my birthday and we were surprised to find a small birthday cake and card in our room. While we were staying at the hotel they also hosted an enormous international security conference that had a massive impact on the hotel, the staff, guests and the whole city, but staff did as much as they could to minimise impact on other guests.  Make no mistake, this is an expensive hotel, but they provide great service and great rooms. The food is excellent and the environment lovely. …",5,June 2022,Travelled as a couple
Old school hotel comfort in a garden setting,jojolovestotravel,"I had last stayed at the Shangri - La Hotel  back in 1987 in the Garden Wing and had a wonderful time.  For this brief stay on my way home from Europe I booked a room in the Tower Wing which proved to be just tight, with its most welcome and comfortable bed.   The staff are lovely and the garden setting is a big plus in a city that has grown so much.   I would definitely stay at the Shangri - La again …",5,September 2022,Travelled solo
Pleasant stay,LM,"Husband and I booked this hotel as it seemed reasonably priced in comparison to other 5 star hotels in Singapore. We enjoyed our stay here, ample space in bedroom and bathroom in the tower wing deluxe room. The breakfast buffet was also the best out of the 5 hotels we stayed in during our time in Asia.",4,September 2022,Travelled as a couple
Outstanding,Andy S,"We have just spent 12 days at the Shangri-La, and were lucky enough to have a room upgrade from the garden wing to the Valley Wing.  Wow, the room was large and fitted out in luxury.  All the staff were very polite, professional and welcoming.   The room upgrade is actually as it says, you don't get the canapés, cocktails etc, only the room, but it is so much better its worth it.  So Thank you to the Shangri-La for upgrading us on our retirement celebration. The pool is stunning, with lush vegetation all round, colourful birds and beautiful view's.  One slight downfall was the amount of young children running around and screaming whilst in the water, sadly parents not being considerate to other guests, not the hotels fault. We didn't eat in the restaurants due to our financial situation, but taxi's to Orchard Road and hawker centres were cheap and plentiful. This has been the nicest hotel we have stayed at in regards to luxury, whereas the Pan Pacific/Mandarin Oriental are more business orientated. The internal of the whole complex is opulent and all the small touches make it so special, admittedly we were in the Valley wing.  The gardens are stunning. We can highly recommend this hotel, rates are very competitive, but eating in is on the high side (we'll for us they are). Thank you Shangri-La, you certainly made our holiday special and thank you Sally for looking after us in the Summit Room. We will certainly be recommending you to friends and hopefully will return in the few years.…",5,September 2022,Travelled as a couple
The best x,EmY,"Have stayed here many times over the years. We love the rooms in the older section of the hotel with their large balconies overlooking the pool. Fantastic service, beautiful grounds, nice food options, great location near Orchard Road. Highly recommended X",5,July 2022,
Such beautiful elegance.,Pat R,"We were having the trip of a lifetime, and Shangri-la did not disappoint. The garden hotel certainly lives up to its name - fabulous extensive gardens planted with palms, orchids and lush borders. Our room in the Garden Wing partly overlooked the massive pool, and partly the gardens. The facilities and service are second to none and there are many in-house eating options. The staff are unfailingly courteous and nothing is too much trouble for them. I could go on with well deserved superlatives, but would just like to mention the Concierge service. Mr Rajagopal Rajkumar and his team were magnificent in booking us some trips. Any issues with the tour company were efficiently ironed out and as a result we enjoyed several wonderful day trips. Their desk was always manned by pleasant smiley faces, albeit masked, and we were very grateful for their presence. Thank you to all at Shangri-la Singapore, we will not forget you.…",5,September 2022,Travelled as a couple
Very good hotel in a nice area of Singapore away from the centre,Jon,"Excellent hotel as you would expect from this chain. Very modern throughout with good staff and facilities in the room. Breakfast buffet is one of the biggest I’ve ever seen. We were on honeymoon so they gave us a little cake in our room as well, nice touch.",4,September 2022,Travelled as a couple
Waterfall Ristorante Italiano,Bengi,"Great ambiance, lovely staff, good food. Lida, Diina and Topias have made it a great evening for us on our last night on the Orange Grove. We will miss looking at this amazing garden from our balcony!",5,August 2022,
Faultless,ALTamEd,"We had a faultless (near enough) stay at the Valley Wing. We like the Shangri La brand and this is one of their jewels in the crown. First class service throughout which really makes the place. Everything in the valley wing is handled with gracious efficiency and courtesy. Despite the elegant surroundings, children are made to feel welcome. We can't wait to return. Wish we could thank everyone in the Valley wing, but special mention to Valley wing Director Aris, Amin and Peggy and the conductor of orchestra John Rice!",5,August 2022,
Hospitality was disappointing,Kevin,"Booked the Shangri-La to celebrate a friend's birthday in Singapore and emailed them regarding this. Instead of suggesting recommended celebration add-ons or offering a complimentary cake (which Marina Bay Sands does), the reservations team  chose to advise me of their strict one-person limit for their standard double rooms. I was not intending to bring more than the one allowed guest but I find this reply to be very showing of what the staff prioritize.",2,August 2022,
