Review title,Username,Review,Rating
High Tea,CJ02,"Came here to celebrate birthdays and we were not disappointed! Wonderful, artisan desserts and perfectly portioned servings.   Lotha and Wayne did an exceptional job in making our visit pleasant by being attentive to our requests, thank you. Also, thank you for making it special by playing the birthday song on the piano and the slices of cakes. we had a great time here at The Landing Point at Fullerton Bay hotel.",5
Very high quality hotel,Shentos,"Stunning hotel, backed up by outstanding service. The construction and interior design of the Fullerton Bay make it a unique place to stay. The marina location is as central as it gets and the view across the water to MBS is a great one. We stayed in a third floor corner room, which was high spec and with views of the water on two sides. The rooftop pool is a special area for spending time in central Singapore. The Lantern bar is a great vantage point for evening drinks and watching the light show. The hotel feels more relaxed and less touristy than MBS (which works at MBS, not a slight on that experience- certainly also worth checking out). We stayed with our twenty two month old daughter for two nights. Service was exceptionally good and welcoming, though perhaps the vibe is better suited to families at Shangri-La. Two nights at the end of our trip were memorable and we thoroughly enjoyed our stay. Alvin the butler and Indra on reception were particularly helpful, nothing was too much trouble- very welcome when travelling with a toddler and much appreciated. All their colleagues were also very kind. Perhaps best recommended for couples who want a more chilled, but high-end, boutique experience. Five star review an easy decision.…",5
The Best Hotel in Singapore,bombstoliv,"Everything about my experience at The Fullerton was incredible. The upgraded room with the bay view was so amazing, the decor and ambience of the hotel was just lovely, the staff was incredible and welcoming and the location couldn’t be beat. I would highly recommend anyone to stay at this hotel.",5
Worst bar in Singapore or anywhere to be honest,renaefranklin2908,"I don’t think I have been to a more pretentious entitled place in my life , from the 20 somethings pushing past us to get into the lift to the duff duff music on entry.Please wait to be given a standing only spot at 10.30 pm and then take 25 mins to get an overpriced cocktail. Get a table then wait 30 mins to get a second drink which actually never came  , how long does it take to pour a beer? The only reason that it get 1 star is due to the view and the air conditioned toilets very disappointing experience would not recommend at all .",1
Birthday cake,Manami,I went to Lantern restaurant by The Fullerton Bay Hotel Singapore for birthday! The waiter whose name is Julius served birthday plate with singing. We appreciated it so much! My friend was so glad! Thank you so much .,5
Outstanding service by great staff,Richard M,"Our two day stay was made all the more pleasurable by the friendly and attentive staff at the bars, restaurants and hotel reception. We like the location where it is easy to get to the underground and easy walks to/from some of the major sights of Singapore. This is a great hotel and we will be returning!",5
"Amazing staff, beautiful hotel and a personalized experience",Thyago P,"The beautiful and luxurious entrance hall and restaurant is complemented by an amazing staff, beautiful room (i recommend end the premier bay on 1st floor). From breakfast, Tea and dinner the food was delicious. I was provided with more then confort, perks and amenities, it was an personal and intimate experience.",5
Lantern Bar fantastic on two days,Peter J,"We had a superb evening in the Lantern bar.  Greeted by Alvin in the lobby and personally taken up before the bar was even open, it seemed nothing was too much trouble.  The staff went to the effort of bringing up cake from downstairs to go with our tea - even though it was not normally served.  Germa then managed to find a table for us the next evening to watch the light show.  We were greeted like old friends firstly by Alvin, then Germa and Anna when we were again escorted up to the Lantern.  We enjoyed a marvellous meal and were looked after for the evening by Julius.  A perfect location on the bay, along with exemplary service.  Cannot praise this beautiful hotel highly enough.",5
Accommodating Staff at Lantern Bar,Ma angelica D,We enjoyed pur stay at the lantern bar. Julius Tallano who is one of the staff is very accommodating and polite. He even guided us in ordering one the best and unique drinks that i have ever tasted. We will surely recommend lantern bar as a place to visit,5
Mom & cousin bday celebration!,Prabavathy D,Had a great time at Lantern! Great ambience! Awesome food! Splendid service from Daniel! Thank you so much for the complimentray birthday cake too! Will definitely revisit! Love the view and the choice of music played!,5
LANTERN AT THE FULLERTON BAY HOTEL SINGAPORE,MARY ANNTONETH,"Love the view and ambiance, good music. Best Foods and Drink and very important the staffs are very approachable and good service. Will definitely come back again in this hotel. Really highly recommended to my friends and family.",5
Excellent Service,Catrina wan,Very Nice and friendly service with delicious food. Thank you for the excellent services. We will definitely come back again here. Recommended!! Thank you to all the staff who service us. Keep up your good job,5
Nice service and great view,Junny Kim,"I got recommended by someone who works in SG. I asked I’d like to check out a bar with nice view of marina bay sands, Lantern bar is it! People are very nice, warm, and caring. Def nice night view, it would be lovely to come here with your beloved ones. It is not that loud so it is also enjoyable with family.",5
Great service for my partner’s birthday High Tea experience,Hong Jun,"We were served under Anthony and his service was great. Had a birthday cake and he made a complimentary drink for her as well. It was fantastic. Also, we needed to charge our phones cause our portable died and it was tended too. Really a life saver. We also had a complimentary parking since we drove",5
High Tea,Naziera Jastina,"The service rendered by Lotha, Asel and Hui Xia were excellent! Very attentive and accommodating to guests’ needs. They were very welcoming and great at their work as well, explaining the menu to us. Thanks!",5
Afternoon tea at the Landing Point,Ming L,"I had afternoon tea with my family here to celebrate my birthday. The savory dishes were my favorite, especially the duck rillettes and smoked salmon! The variety of teas and coffees we're also very impressive and delicious. Fairus and Lotha were very helpful and accommodating.",5
Disappointing and not up to standard,Andrew B,Always used to look forward to and enjoy my stays at the Fullerton Bay Hotel.  Despite the perfect location for Singapore the Fullerton team are not providing 5 star service.  Teamwork looks poor across the various teams be that the kitchen and front office service teams are not working together.  Service is slow and disjointed.  Teams are trying but it looks like there is a gap in senior management oversight.  After years of being a massive fan of the Fullerton Bay I will not be staying there again and will not be recommending it to friends and family.  Simply put the gap between the price you pay and the service you get are too far apart.,1
Great Service and Food,ay,Great service and warm hospitality from Ms Lotha.  Thank you Ms Lotha for making the dining experience warm and pleasant to enjoy. Will definitely return and recommend to friends and family! The place to go for a chill and relaxing afternoon,5
Afternoon tea at The Landing Point,Soh L,"I had a great afternoon tea experience at The Landing Point at The Fullerton Bay Hotel Singapore. Special thanks to Karen, Anthony and Lotha for the good service. The Chinese lady who served us coffee was so warm and nice too. Thank you!",5
Excellent afternoon high tea experience,tang63,"Went to The Landing Point within Fullerton Bay Hotel for the afternoon high tea set. Food and service was excellent, with a great view of Marina bay sands and the waterfront. Special call out to Anthony and Lotha from the service staff, who remembered the little details and even celebrated my friend’s birthday. Will definitely come back again.",5
Disappointing afternoon Tea.,Marioviaggiatore,"Afternoon tea at The Landing Point. What a low quality experience !!! Even without considering the exorbitant cost of the afternoon tea, the experience is not at all nice and quite below expectations.  Service was poor.  Food nice at appearance but  not so interesting at taste.  Very disappointing.",2
the place we would say YES,PAULSMITH,we arrive late in the night and we didn't expect that they still keep the room as we need all the night Manager was very sweet person and had the smart eyes  we felt overwhelm with the nice staff   then the best thing is the lady in the front they are beauty also,5
Lovely way to enjoy Marina Bay,A_S_Ongko,"We had the vegetarian afternoon tea, and Lotha made the experience extra special with attentive service from start to finish. Grateful to the team too for assigning us a table with a wonderful view of the Marina Bay.  The set is generally good, though there could be more variety to the savoury vegetarian items. Still, kudos for offering allium-free options!",5
High Tea with Friends,maiers27,I celebrated my 41st Birthday at The Landing Point Fullerton. We had fun in this place and we enjoyed taking pictures too! The staff are accomodating and making sure that we have everything we need! Special thanks to Lotha and Fairus!,5
Great Staycation,Daria B,"You should be very proud of your staff who were friendly and very accommodating. Especially big thank you to Indra!!! The room was lovely. We loved the extremely comfortable bed, the atmosphere, the attention to details and the hotel products, snacks and drinks. The restaurant and bar staff were very helpful and the food very good. It was our second stay at your hotel but it wont be the last. We had a wonderful time and felt very comfortable and welcomed at your hotel. Thank you!",5
Afternoon tea at The Landing Point,Khrizelle P,We had afternoon tea at The Landing Point. It’s full house but thanks to Lotha she’s very accommodating and sweet. Love the Sakura and Royal Orchid tea it really compliments the desserts. We had a nice view of the Marina Bay Sands. We will definitely go back.,5
Birthday tea at the Landing Point,Siew Choo L,"Ambience was gorgeous & the tea spread was absolutely divine! Each item was exquisitely beautiful and delicious. Service was impeccable and we loved the gracious attention of Lotha and Asel. I fedback at end of tea that it was a beautiful birthday celebration and the next thing we knew, they sent a beautiful and complimentary  slice of chocolate cake with a candle. So thoughtful! I loved the whole experience and would certainly go again.",5
Great ambience and services,XJH-DT,"Very home warming fell and great services from the  staff. Went for the hi tea, they change a new menu display the best menu and matching with a great choice of tea or coffee. The service by the team is great and always timely and patience. Great introduction and recommends of the hitea item and what drinks is matching .",5
Excellent!,cupcakesfloral,Visited The Landing Point with a friend on 26 Jul 2022. Lotha & Karen were very helpful and attentive. Food was yummy as well! Definitely will return again. Thanks for the excellent service and food! :),5
Great gem of a property right on the bay,asiagirl511,"This property, its staff, service, rooms and facilities are all top notch.  The rooms are spacious and luxurious with large bathrooms that include tubs and showers. The bed is ultra luxe and comfortable. Rooms even have a private balcony.  The breakfast buffet in the morning and the hot entrees are amazing. Service in the breakfast restaurant is also amazing - JJ deserves extra kudos!!  The gym and pool area are on the rooftop and very clean, modern and well maintained. Lobby bar is a great feature for meetings and casual dining.  I simply loved my entire stay!!",5
