Review title,Username,Review,Rating,date,traveller_type
Very Bad experience,Benny L,"I am now staying at Ritz Carlton Singapore.   It is the first trip for me after COVID 19 and I have been looking forward to it, especially when I know that I would be staying at Ritz Carlton.  It has been a very disappointing experience since I checked in.  The first day when I checked in, I found a half drunk bottle of water in the room, which was disgusting.  Then  I found the 2 plugs next to my bed didn’t work. Later in the evening, I found all the phones in the room were out of order too. Since it was very late at night, I waited until the next morning.  The next day, I complaint to the hotel and the manger send a technician to fix the plugs but he couldn’t fix the phone. The technician said he would find someone to follow up,  After all my activities on 2nd day, I went back to my room and found the phones were still not working. I found no note in the room. I am not sure whether a technician ever came by or not. Even if he can fix it, I expect a note about it.  I then went to front desk to complaint, all I got was apologies, which I have got so manny these two days. The problem was not fixed.  I have a very bad experience.  This is not the Ritz Carlton that I expect,  Very disappointed.…",2,October 2022,Travelled on business
Just when I thought it couldn’t get better…,prince_of_roam,"Just when I thought it couldn’t get better…  Beyond being engulfed in complete luxury with all the usual amenities of a six-star hotel, the service quality was absolutely over the top!  The General Manager, Peter Mainguy arranged for me to have my favorite Marina Bay room with gorgeous views of the harbor.  A big thanks for accommodating my special request.    However, even more impressive was the service quality from the staff.  Noticing that I was using a pillow support for my neck, the thoughtful evening Butler had arranged for me to have a complimentary neck support memory foam pillow without my even asking.  This amazing attention to detail and the customers individual personal needs is really what sets the Ritz Carlton apart from other leading hotels.    Another key advantage for Ritz, is that they have a PCR clinic right next door.  Very convenient for travelers who need an immediate PCR test before departure.  Overall, one of the most consistently best rated across all categories.  I’ve stayed at the hotel over 18 years and they never fail to impress.  Having said ALL that, I WOULD prefer to see Ritz Carlton Milennia be able to allow #Bonvoy Members to earn points / nights for their stay.  That is currently the only thing missing from an otherwise perfect hotel choice.…",5,September 2022,Travelled on business
A fantastic Wedding Staycation,Bertram L,"I always choose Ritz Carlton, Millenia as my ideal staycation place. And now to celebrate with my wife after our  wedding, it wasn't a hard decision that we decided on it as our Wedding staycation.  Otw to the Hotel we weren't expecting much other than a good time to enjoy and relax. However during the check-in the front office lady  greeted us as Mr & Mrs which was a surreal feeling!! 😊😊😊 after the seamless check-in. We went up to the room straight away and lo and behold we were surprise at the amenities that was prepared meticulously and waiting for us!! Not long after we had a call from Chef Sundar congratulating us and telling us to enjoy the amenities.   On to the next day, we were surprise when the In-room dining called and said that they have prepared something for us for breakfast, it was such a nice gesture from the team. Before our Check out, i manage to reach out to Chef Sundar and thank him for the great hotel stay and experience. What i was also impress was when he said that it wasn't him alone but a group of people involve that made it happen. With his permission i took note of their  names, thus its only fitting that i should mentioned their names for creating such a enjoyable stay for us.  Thank you!!!   Chef Sundar, From RC Club  Elvy, Joan, Weileh. From Pastry!! My Mrs enjoyed the Carrot cake a lot!!  Carolyn, for the room amenities  Kate & Isabella, from In-Room dining  And everyone else who were helping as well!!  I look forward to my next staycation with you guyz again!!…",5,September 2022,Travelled as a couple
Honeymoon,Mark K,"We had a wonderful stay at the Ritz Carlton Millenia on our honeymoon. Amazing service from the warm arrival and congratulations from Dexter to the room upgrade to the stunning marina bay view.  Our flight was also delayed by 13 hours and we arrived the following morning - to our surprise, they adjusted our booking (without us asking!) removing one night from the charge.   They provided a lovely ‘cake’ made from watermelon as well with a thoughtful card - a perfect treat after our long flight.  Highly recommend!",5,October 2022,Travelled as a couple
Wedding Solemnization Party at Colony,Yoke Yee,"I had a wonderful dining experience at Colony for my ROM dinner party on 26 Sep 2022. Tessa was fulfilled all my needs and she stayed back to ensure everything goes smoothly. She also handed over to one of her colleague, Raj to take care of my dinner before she off duty.  Raj is very attentive and all my guests also very happy for the night.  Thank you Tessa & Raj",5,September 2022,Travelled with family
Superb service at the Republic,Tom352VD,"We had recently an afternoon event at the Republic bar and the service has been fantastic, a huge thanks to Mr. Phil Park and his assistant Mr. Duncab. Impeccable and very guest-oriented waiters always anticipating guests' wishes and particularly polite. We look very much forward to returning whenever back in Singapore! Many thanks indeed.",5,September 2022,Travelled on business
Amazing hotel,Furry61,"I couldn’t fault the hotel at all. It was spotlessly clean and the breakfasts were great with lots of options on offer and delicious. The staff were super friendly, especially Adam at the concierge desk,  Kong, one of the door security guys and the Filipino maid who had just arrived in Singapore and serviced room 703.  I didn’t use the spa or gym but both looked amazing.   The pool opens at 7 am until 9 pm.  It’s very attractive and it was lovely swimming at night in a temperature of 29°C with no worries about getting burnt!   The hotel is well positioned within walking distance of Raffles and the iconic Marina Bay hotel.  I want to go back asap!",5,September 2022,Travelled solo
Not for milestone events,Grumpyz,"First, the hot water tap at the basin doesn’t work. It didn’t bother us then till the next day when the cold water tap start leaking and was creating a puddle at the basin.   I found out that there was a chip at the corner of the shower stall through the hard way, my toe got cut. It was impossible to bump into that corner due to its awkward angle but small parts of the chipped tiles were scattered over the floor and luckily it wasn’t my kids who got cut.   I arranged for some birthday decorations to put up in the room. While arranging the timing with the coordinator, I was informed that all occupants have to vacate the room. I asked if my kids could just stay in a corner and the coordinator repeated twice impatiently that all of occupants have to vacate the room. Ok, I got that message but the coordinator could have further explained nicely why there was a need to vacate the room. To her credit though, she was very accommodating when I had to change the timing several times as I had to find a time slot that my husband wasn’t the room as it’s meant to be a surprise and plus my spa appointment was messed up.   The decorations could use better scotch tape and maybe grade of helium gas?  The Happy Birthday banner dropped down after 10mins of us entering the room. We had to retrieve the letterings from the tight space behind the sofa. The balloons started sinking to the ground after 6 hours; Needless to say, my kids were looking forward to bring the balloons home to prolong the celebration; only to be disappointed.  In other celebrations where I had ordered balloons from other vendors, they stayed afloat for 12-24 hours. The decorations did look pretty when they were up but they weren’t worth the price tag that Ritz charges.  I called and booked a spa appointment for 5 Sep on 7 Aug  10.23am. To my horror and disappointment, they didn’t have any traces of my booking. I was informed that usually the schedule for the following month wouldn’t be out that early and their protocol is to take down details down and confirm the appointment nearer to the date.   Now, I have tried previously calling 1-2 weeks in advance only to be told they are fully booked.  So this time, I thought this time I will try calling almost a full month in advance; only to have them ‘lose’ my appointment details.   Doesn’t help that online booking is via email and they take a few days to reply. If Ritz is concerned with no-shows, perhaps it should look into guests using credit card details as a collateral like the Michelin starred restaurants.  The saving grace is the appointment is for myself and not for the birthday boy.   The Spa manager, Rosalind did call me thereafter to offer me a complimentary 60mins massage on another day. It’s a nice recovery gesture though it is inconvenient that I’ll have to return another day. I didn’t take up the offer in the end.  Their competitor next door decorated the room with personalised balloons without extra charges and provided a complimentary cake that could feed 6 guests when we stayed there for my son’s birthday a few months ago. We didn’t even make prior arrangements with the hotel, they just notice it was his birthday when we checked in.  Dickson from Guest Services was really patient as we played email ping pong, communicating on my reservation and the birthday decorations.  Michelle from the Club Lounge was sweet as always. The rest of the Club Lounge staff maintained their usual standards of service though it was sometimes slow as it was a full house. The chefs at the live cooking stations were extremely friendly and accommodating to special food requests. They took the initiative to engage guests.   And finally, we were informed that the bill would be emailed to us as we were encouraged by the staff to use the Express Checkout options. In the past, we would receive the e-bill 1-2 days after we checked out. We waited for almost 1 week and we finally had to email in to request for the e-bill.   We stay or dine at Ritz Carlton fairly regularly and this stay fell somewhat short.  We have a soft spot for Ritz, from having our wedding to the full month celebrations of my kids at Ritz. We are probably what Ritz might consider ‘regular regulars’ and not ‘VIP regulars’.   This time I specially chose to go with Ritz to celebrate my husband’s milestone birthday.   I didn’t bring this up during our stay as I didn’t want to spoil my husband’s birthday.  Would I return again, yes I would. But would I choose this hotel to celebrate milestone events, probably not.  The Ritz that I know, the one where their ladies and gentlemen use to pay attention to details, seems to no longer exist, unless maybe you  are a ‘VIP regular’, not just a ‘regular regular’.…",3,September 2022,Travelled with family
Short stay; expected more,George,"This was a quick, 1-night stay, where I landed in SG in the evening and departed first thing in the morning.  The property’s main lobby, etc, is mostly what you’d expect from a Ritz Carlton.  When checking in during the evening, there’s definitely a loud, lounge-y vibe.  My main goal was to get into the room, take a bath, and crash.  Unfortunately, 1) no bath salts were in the room - it took two calls and about 45-minutes to get them, vital time when you just want to crash.  Ended up foregoing the bath in the end.  And 2) just as I was about to finally crawl into bed, half the room’s power went out.  Yep, half of all lights, outlets, etc, just went dead.  So, that resulted in another 45-minutes, luggage shuffling, and 2 unexpected visitors.  While I’m grateful the electrical issue was addressed in under an hour, all in all, I ended up not getting to sleep until after midnight with a 4:45am wake up call.  Hard to feel super great about the experience when exhausted.  In fairness to the property --  it was a super short stay, the sheets were awesome, the room (electrical issues aside) was pretty good, and the gym looked great.…",3,September 2022,Travelled on business
Unresponsive,JessaLynn89,"I read JaneL’s review of RC’s wedding team (reviewed in Jul 21) and felt strongly that I should add on to her experience for the benefit of other wedding couples who are considering RC as a wedding venue.  You would expect professional and responsive service from any department or team from a self-proclaimed luxury hotel right? I’d reckon so. But based on my experience with RC, I think you will be in for a disappointment.   When I was planning my wedding with them, it was as if I was playing a “i-wonder-if-you-have-seen-my-email” game. I had to frequently send them weekly reminder emails to get their reply for quotations and package details. I once had to send them 3 reminders (or was it 4?) to seek information on the wedding package. And they don’t even send you an acknowledgment email. It got to a point where my husband and I concluded that they are simply not interested in us and we decided to drop the venue even though we like the ballroom very much. It was such a waste of time reaching out to them.…",1,February 2022,
