title,score,positive,negative,guestName,travellerType,room,nightsStay,date,country,countryCode,photos
Excellent services and beautiful room. Its was great time to spent at here.,9,"The room, the design of the wardrobe and the bathroom..",The TV and there is no place to hang the towels in bathroom..,Mr,Couple,Deluxe Double or Twin Room,2,"21, 2021",Singapore,sg,[List]
Good,7,"The staff were really friendly, room was super comfortable. Pretty affordable! Great for couples","The pool was really dirty, had lots of dirt at the bottom of the pool and it wasn't a comfortable experience. Also for breakfast the room tv says it's from 8am plus to 11am. But when I called in for breakfast at 1045 they said last order is 1030am but it wasn't stated in our menu that last order is 1030am. Hope that would be rectified. Thank you",Lavanya,Couple,Deluxe Double or Twin Room,1,"16, 2021",Singapore,sg,[List]
"Good, clean and fun stay.",8,Had cosy boutique hotel vibes,Small size room,Vaishnavi,Couple,Deluxe Double or Twin Room,1,"10, 2021",Singapore,sg,[List]
Great place,7,"Service
Ambience",The breakfast could have been better.,Syamsiah,Couple,Deluxe Double or Twin Room,1,"9, 2021",Singapore,sg,[List]
A Quiet Place 3!!,8,The patio was big and smoking is possible outdoors just be sure to keep the sliding doors closed and don't forget to ask for an ashtray from the concierge.,The fridge was empty 😅..,Trippy,Couple,Deluxe Double Garden Room,1,"21, 2021",Singapore,sg,[List]
Very Good,8,Wonderful location that allowed us to explore Fort Canning Park and easy access to Orchard Rd. Helpful service staff.,"When it rains, getting to Orchard Rd and other sights is less easy as one has to walk up and down the hill. Can be helpful if there is a short shuttle down to Plaza Singapura.",Steven,Couple,Deluxe Double or Twin Room,3,"16, 2021",Singapore,sg,[List]
Wonderful,9,"Location: perfect for our honeymoon. Away from city.
Front desk: approachable, and helpful
Cleanliness: Good  
Service: excellent and fast","Tv, the channel are boring. I prefer if we can access to netflix or screen mirroring, that would be awesome coz actually we dont intend to go out that often during our honeymoon but then we got bored and spend our time outside on the second day of our stay.",Mohammad,Couple,Deluxe Double or Twin Room,2,"15, 2021",Singapore,sg,[List]
Wonderful,9,"The hotel was soroundered with beautiful nature. The staff was excellent, especially at the reception 👏",,Mayuran,Family,Premium King Room,1,"2, 2021",France,fr,[List]
Wonderful,9,Ms Mala at the reception was very helpful and proactive in anticipating to our needs.,The toilet space was too small for comfort,Dennis,Couple,Deluxe Double Garden Room,4,"13, 2021",Singapore,sg,[List]
Wonderful,9,Friendly staff. Peaceful ambience.,Nil,Nasyita,Family,Studio Suite,1,"13, 2021",Singapore,sg,[List]
Very Good,8,Patio,Toilet,Tean,Solo traveler,Deluxe Double Garden Room,1,"30, 2021",Singapore,sg,[List]
Grest staff & Hotel but eerie at night,9,"The staffs mainly Shanna the Indian front desk officer and the malay guy technician, forgotten his name.","Unusual knocking sound hear by the toilet window. We changed room and thanks to the superb front desk officer, Shanna and the technician, malay guy. Forgot his name but both of them were superb.",Lyn,Couple,Deluxe Double or Twin Room,1,"23, 2021",Singapore,sg,[List]
Very Good,8,"I like the location, that makes you feel a bit remote even if in the very center of the city. And the swimming pools are a dream!!!","Even if the room was nice and super clean, (junior suite), it was very humid. And the decoration is not as fancy as expected for a five star. the common parts of the building (hallways, restaurant) not renovated in a while maybe so it gives you the feeling you are in a Soviet Union hotel in the 80s kind of decoration. Fortunately all the staff is extremely nice and especially at the reception desk. Thanks Ivena :).",Beatrice,Solo traveler,Studio Suite,1,"7, 2021",Singapore,sg,[List]
There for a one night staycation. A fabulous spot and great value hotel which was pretty much empty. Recommended!,8,Lovely lush out-look from bedroom. Pools were a good sizing and almost empty.,Breakfast was rather thin with no cross-over allowed between Western and Asian breakfast choices. This may have been due to them being short staffed. But...the inclusive breakfast was very cheap and tasty.,Anthony,Couple,Deluxe Double or Twin Room,1,"6, 2021",Singapore,sg,[List]
Wonderful,9,Location and close proximity to Fort Canning.,No option of halal food within the hotel premises. It would be good to have that option.,Hisham,Couple,Deluxe Double or Twin Room,1,"21, 2021",Singapore,sg,[List]
Decent value in a beautifully-designed hotel with quirky features,7,"I really liked the design of the rooms, the comfort of the beds and the friendliness of the staff.","The restaurant and bar lacked the design ambience of the rest of the hotel. 
I think due to Covid restrictions, the access to the pool from the hotel was a little odd (had to take multiple stairs and elevators and walk underground through a car park).",Rosanna,Solo traveler,Deluxe Double or Twin Room,1,"9, 2021",Singapore,sg,[List]
Good,8,Room has high ceiling. Hopefully breakfast has more variety,Nil,Low,Family,Deluxe Double or Twin Room,2,"7, 2021",Singapore,sg,[List]
Very Good,8,The room was spacious and clean,The room phones were not working.,Rw,Family,Deluxe Double or Twin Room,1,"21, 2021",Singapore,sg,[List]
Good,7,Evening 6 pm drinks session. Hotel surroundings has lots of greenery. The fish pond is nice too.,"Stayed at studio suite. Bath tub too close to bed, any bath splashed on floor and the marble floor is sleepery when wet.",Anthony,Family,Studio Suite,2,"3, 2020",Singapore,sg,[List]
"Although it is on a pricey side, overall a good and quality hotel.",9,The hotel's cleanliness.,The pillows is abit too hard.,Haikal,Couple,Premium King Room,1,"2, 2020",Singapore,sg,[List]
lovely stay and relaxing,8,"Love the session that provided drinks and light snacks for guest to mingle and relax. Also loved the hotel atmosphere.
Staff at The Salon was extremely friendly and welcoming with excellent service.",nil,Ong,Couple,Deluxe Double or Twin Room,2,"31, 2020",Singapore,sg,[List]
Nice Staycation,9,"Comfortable clean room, love the historic colonial design, very peaceful, friendly staff","Nothing bad, I’m ok with the property",Sulastri,Couple,Deluxe Double or Twin Room,1,"23, 2020",Singapore,sg,[List]
Wonderful,9.2,Toilet!,,Kimberley,Couple,Deluxe Double or Twin Room,2,"20, 2020",Singapore,sg,[List]
Wonderful,9,Room was superb. But the hotel's location was its best feature. Close to the city yet secluded and serene in the greenery and hills. Great and picturesque place for weddings too.,,Faisal,Solo traveler,Deluxe Double or Twin Room,1,"16, 2020",Singapore,sg,[List]
Very Good,8,Great setting in a natural reserve,"Decent walk to closest MRT. Hotel filled with guests for wedding functions in the weekends. 
In-house breakfasts was terrible and expensive.",Pradeep,Couple,Deluxe Double or Twin Room,3,"14, 2020",Australia,au,[List]
Bad,1,,,Ahmed,Solo traveler,Deluxe Double or Twin Room,3,"24, 2022",United Arab Emirates,ae,[List]
Exceptional,10,,,Roberto,Group,Deluxe Double or Twin Room,3,"24, 2022",Spain,es,[List]
Fair,5,,,Falko,Couple,Deluxe Double or Twin Room,7,"27, 2022",Germany,de,[List]
Exceptional,10,,,Krystian,Group,Deluxe Double or Twin Room,1,"14, 2020",Poland,pl,[List]
Disappointing,4.2,,,Catello,Couple,Deluxe Double or Twin Room,2,"14, 2020",Italy,it,[List]
Exceptional,10,,,Tomasz,Couple,Deluxe Double or Twin Room,2,"4, 2019",Poland,pl,[List]
Exceptional,10,,,Pedro,Couple,Premium King Room,3,"21, 2019",Portugal,pt,[List]
"Schönes Hotel, super Lage",9,,,Anonymous,Couple,,3,"26, 2020",Germany,de,[List]
Excellent,8.8,,,Anonymous,Couple,,3,"11, 2020",Netherlands,nl,[List]
Excellent,8.8,,,Anonymous,Family,,4,"3, 2020",Austria,at,[List]
Wonderful,9,,,Anonymous,Group,,3,"5, 2019",Netherlands,nl,[List]
Very Good,8,,,Anonymous,Solo traveler,,1,"18, 2019",Norway,no,[List]
Good,7.1,,,Anonymous,Couple,,14,"26, 2019",Germany,de,[List]
Exceptional,10,,,Anonymous,Group,,2,"28, 2022",Japan,jp,[List]
Exceptional,10,,,Anonymous,Couple,,1,"21, 2022",Singapore,sg,[List]
Pleasant,6,,,Anonymous,Couple,,1,"18, 2022",Taiwan,tw,[List]
Exceptional,10,,,Anonymous,Couple,,1,"2, 2021",Singapore,sg,[List]
Exceptional,10,,,Anonymous,Couple,,3,"30, 2019",Belgium,be,[List]
Exceptional,10,,,Anonymous,Solo traveler,,2,"5, 2019",Switzerland,ch,[List]
Very Good,8,The room was fantastic value for money the view was beautiful it was peaceful and quiet,The organisation of staff. With covid restrictions no one seemed to be around to give you pool towels or give directions. They still gave original directions where when you take they now closed off the exits due to new regulations,Traveller141,Couple,Deluxe Double or Twin Room,1,"21, 2022",United Kingdom,gb,[List]
