title,score,positive,negative,guestName,travellerType,room,nightsStay,date,country,countryCode,photos
Exceptional,9.6,,,Tobiasz,Group,Deluxe Guest Room with King Bed,2,"27, 2019",Poland,pl,[List]
Exceptional,9.6,,,Yu-ping,Family,Studio Room with King Bed,2,"23, 2019",Taiwan,tw,[List]
Fair,5,,,Youting,Couple,Deluxe Guest Room with King Bed,1,"21, 2022",China,cn,[List]
Fair,5,,,Youting,Couple,Large Family King Room with Sofa Bed,1,"15, 2022",China,cn,[List]
Exceptional,10,,,Anonymous,Family,,1,"8, 2020",Germany,de,[List]
Wonderful,9.2,,,Anonymous,Family,,2,"18, 2020",Russia,ru,[List]
Exceptional,9.6,,,Anonymous,Couple,,3,"2, 2019",Italy,it,[List]
Very Good,8.3,,,Anonymous,Family,,3,"23, 2019",Thailand,th,[List]
Good,7.1,,,Anonymous,Couple,,3,"4, 2019",China,cn,[List]
Exceptional,10,"All the staff were extremely friendly,courteous and approachable.  It was a surprised for my husband for our first month wedding anniversary stayca. The front office team surprised us by giving a cake and a card with a handwritten note and that for us really felt personal and sincere. The f&b staff at Beach Road Kitchen where we had our breakfast were excellent too.  We trully enjoy our stay from the moment we enter the hotel and definitely will come back for more stayca there. Thank you JWMarriotSg for the superb services.",,Hidayah,Couple,Deluxe Guest Room with King Bed,1,"17, 2022",Singapore,sg,[List]
Unforgetable stay. Love the pool.,9,"The pool, the room and the friendly staff from the drop off point till the front desk. 
Not forgetting the housekeeping team. The room are clean every day. Complementary carpark. Lots of parking .","For breakfast, maybe you can have a halal station for muslim guest. That will make us come back again.",Roslinda,Family,Large Family King Room with Sofa Bed,2,"17, 2022",Singapore,sg,[List]
"Great stay, room can be better maintained.",8,"Great breakfast, facilities and customer service.",The room condition was rather old and did not match the rest of the hotel.,Lay,Couple,Club Deluxe Room with Executive lounge access,1,"17, 2022",Singapore,sg,[List]
Staycay,10,"The location and the pool is awesome.
The concierge was very friendly and helpful.",Nil,Ain89,Family,"Deluxe Room Twin, Guest room, 2 Twin/Single Bed(s)",1,"15, 2022",Singapore,sg,[List]
I enjoyed my stay here ! Very nice hotel,9,The staff service was superb. We were welcome by a great calming ambience. Staff was super friendly and very professional.,probably need to check on maintainance periodically. Noted that theres a part of the wall was maybe got hit by something and may need to plaster back the portion.,Atikah,Family,Premier Room 1 King,1,"10, 2022",Singapore,sg,[List]
Exceptional,10,The pool had an amazing view and the staff was very helpful and super friendly!,,Amirah,Group,Deluxe Guest Room with King Bed,2,"9, 2022",Singapore,sg,[List]
Generally pleasant with some issues here and there.,7,"Location is extremely central, walking distance to 2 stations. Staff is pleasant and warm as expected. Wifi is fast and connected with no hassle after I figure out how it works.","Breakfast was a mad rush. You have to pick a 15 minute slot and have to rush through your food in 45 minutes. There's sometimes a big queue at the egg station. In one particular breakfast, they gave my egg away and I had to re-queue, the whole fiasco took me about 15-20 mins. half my entire budget.",Frozenfire99,Couple,Deluxe Guest Room with King Bed,3,"3, 2022",Malaysia,my,[List]
Pleasant and excellent staycation,10,"Service is exceptionally good! Have our breakfast buffet at the kitchen, wide spread of varieties and staffs service are on point!",Nothing,Rachael,Group,Large Family King Room with Sofa Bed,2,"29, 2021",Singapore,sg,[List]
good,8,staff was very helpful. and proactive.,no coffee machine in a 5 star hotel,Anton,Couple,Deluxe Guest Room with King Bed,1,"27, 2021",Singapore,sg,[List]
Very relaxed and pleasant stay at JW Marriott! We will plan for another experience in this hotel.,10,"Very modern hotel. Room is aesthetic, well designed and clean. The hotel staff were very friendly and helpful. We are amazed by the high tech toilet bowl seat with bidet! The hotel is near several shopping malls and train stations. The breakfast at the hotel cafe was great!",Nothing I didn’t like.,Heng,Family,Large Family King Room with Sofa Bed,2,"26, 2021",Singapore,sg,[List]
Good,7,All is good,The room bit to cramp and the pool bit boring for children,Zamri,Group,Deluxe Guest Room with King Bed,1,"26, 2021",Singapore,sg,[List]
Good service,10,The front desk really put an effort to welcome us...can't really recall the name its either Jane or Janice...the customer service for all the staffs there is outstanding...keep up the great work!,Nothing...,Mohamad,Family,Large Family King Room with Sofa Bed,1,"25, 2021",Singapore,sg,[List]
Will consider to go back again,8,"1) Friendly and helpful staffs
2) relaxing ambience in the room and lobby
3) nice city view at the swimming pool",,Mei,Family,"Deluxe Room Twin, Guest room, 2 Twin/Single Bed(s)",2,"20, 2021",Singapore,sg,[List]
Wonderful,9,The breakfast selection was fantastic. The room and facilities were also good despite the COVID-19 restrictions. The staff were beyond friendly and helpful.,There was a problem with the internet causing the WIFI and TV to not work.,Ishak,Couple,Deluxe Guest Room with King Bed,2,"19, 2021",Singapore,sg,[List]
I will definitely consider JWM for my next holiday stay,10,The variety of food,,Fei,Family,Large Family King Room with Sofa Bed,2,"14, 2021",Singapore,sg,[List]
Very Good,8,"the breakfast spread is good, ,room size is big , checkin  staff is friendly and detailed,  ,bed is comfortable ,place is convenient, cleaning staff is friendly and courteous, pool area is nice, nice gym","Not much place to seat except bed as furniture is only 1 small chair,  the writing table is small , a lot of sharp edges not suitable for kids, one of the pillows has odour",Kim,Family,Large Family King Room with Sofa Bed,1,"13, 2021",Singapore,sg,[List]
It was beyond expectations especially the staffs at the hotel were extra respectful,9,The location and the room was very good.,Na,Rekha,Couple,Premier Room 1 King,2,"12, 2021",Singapore,sg,[List]
Overall experience is good. Family enjoyed the stay.,8,The location is good. Very nice scenery.,Expect the room to be bigger,Princessa,Family,Large Family King Room with Sofa Bed,2,"10, 2021",Singapore,sg,[List]
Great for staycation.,10,"Great location! Near suntec city mall. Love the pool view. Staff were nice, accommodating and helpful.","Pool water was too cold.
Room is a little small.",Faiz,Family,Deluxe Guest Room with King Bed,1,"8, 2021",Singapore,sg,[List]
Excellent Service Staff and Room Ambience,10,"The room was clean and neat, spacious yet minimalistic and also has a very soothing and relaxing ambience to it. The hotel lobby was pretty as well as the layout of the entire hotel and it’s external architecture. Staff were very polite and helpful, notably Melvin from the Executive Lounge.",-,Xiang,Couple,Club Deluxe Room with Executive lounge access,1,"2, 2021",Singapore,sg,[List]
Good,7,,Was requested for birthday cake but end up dint have,Chan,Solo traveler,Club Deluxe Room with Executive lounge access,1,"22, 2021",Singapore,sg,[List]
"Comfortable stay, great service",9,"Great service and help from the front desk ;) think the lady's name was Rebecca? 
Convenient location and I loved the marina bay view ❤️",Wasn't able to stream from phone to the hotel room tv.  But not really a big issue.. ^^,Hui,Solo traveler,Premier Guest Room with Marina Bay View,2,"28, 2021",Singapore,sg,[List]
it was ok,7,"location is good, the staff is great","linens were a bit smelly (may be bad laundry powder), the room design is ok, but not the most comfortable and ergonomic",Anton,Solo traveler,Deluxe Guest Room with King Bed,4,"24, 2021",Singapore,sg,[List]
Excellent stay!,10,Staff were very accommodating and friendly. Location was real good with a lot of cafes around the area 👌🏼 Good value for money!,The location and the room,Kitty,Group,Large Family King Room with Sofa Bed,1,"14, 2021",Singapore,sg,[List]
The best service we’ve had in ages!,10,"Such a lovely time had, from check in, FOM was super helpful and I was so surprised to receive a birthday cake as well as Prosecco for our anniversary. (Hubby was smart to choose my birthday as our wedding date!) Room was sufficiently large, and the bathtub is AWESOME! We’ll be coming back for sure!",Nothing!,Annalicia,Couple,Deluxe Guest Room with King Bed,1,"4, 2021",Singapore,sg,[List]
I emailed them it's my wife birthday and they gave a birthday cake and hand written card!,10,Really top notch service. Friendly and helpful staff.,Check in was delayed slightly but think it's due to the extra cleaning required. They offered dining voucher as a compensation though.,Bulls,Couple,Deluxe Guest Room with King Bed,2,"27, 2021",Singapore,sg,[List]
it was an excellent period in the hotel,9,"the hotel is in a good position, very close to the best attraction of Singapore",in my opinion they have to increase the service for the breakfast in the morning. some days crowded and the service not up to par,Roberto,Solo traveler,Deluxe Guest Room with King Bed,8,"15, 2022",Italy,it,[List]
Excellent and perfectly relaxing,9,"Well-sized room with an impressively sized bathroom. 
Sound-proofing is excellent. Busy location (with construction nearby) but was able to stay in near silence.
Bed comfort also perfect. Excellent place to relax and sleep. Room service food was top notch.","Very little to not like. A bit more water in the room? Room service past midnight? Minor, minor issues that did not affect overall enjoyment.",Jonathan,Solo traveler,Deluxe Guest Room with King Bed,2,"15, 2022",Singapore,sg,[List]
Located conveniently above the MRT. The premier room is spacious and the bed was extremely comfortable.,10,Love the location,Slightly overpriced.,Wendy,Couple,Premier Room 1 King,1,"7, 2022",Singapore,sg,[List]
Still Perfect Staycation - but with a Disappointment on Breakfast,10,"Location is perfect and superb convenient;
Staff (Front Office for check in and out, Room Service, Beach Restaurant Reception) is out-of-my-expectation excellence and I feel warmest welcome from them;
Cleanliness is up to my expectation and the room size and comfort of room is good
In-room dining food quality is marvelous - we liked laksa and the steaks","Service level at Beach Restaurant (for Breakfast) - No kid cutlery was provided, We had to walk towards one of waitress for coffees despite seated for 15 minutes, No on-time cleaning or checking to clean table for those finished plates.
Food level at Beach Restaurant (for Breakfast) - Tastiness of our favourite Congee and Nasi Lemak were disappointing us as compared to what we had during our staycation in October 2019.
No food service provided at Flow18 - beside Swimming pool at Level 18.",Vincente,Family,Premier King Room with Marina Bay View and Club lounge access,2,"18, 2022",Singapore,sg,[List]
it was a memorable stay,7,location and view,swimming pool was too cold,Md,Family,Deluxe King Suite with Executive Lounge Access,2,"21, 2022",Singapore,sg,[List]
Exceptional,10,"One of the hotels in singapore with a bidet and not only that, a remote controlled one. Very modern and comfortable. Family room is also a plus point and at a great location indeed. Not many hotels in singapore has this.",None,Nila,Family,Large Family King Room with Sofa Bed,2,"19, 2022",Singapore,sg,[List]
Good,8,Great breakfast,Rates are variable and did not like this.,Godofredo,Solo traveler,Deluxe Guest Room with King Bed,8,"13, 2022",Brazil,br,[List]
Good,7,location is excellent. good views of the city.,"property wasn’t as clean and some of the staff wasn’t very friendly, most were though.",Irene,Group,Premier Guest Room with Marina Bay View,5,"28, 2022",Australia,au,[List]
10/10 will stay again!,10,"Our stay was better than expected! We booked the suite for a friend’s hens night and JW made it memorable every step of the way. from the check in (Talgar helped us with it and his little jokes during the check in process made it memorable for us) , to the lounge (Hazel is such a darling! they made us all feel so welcome and the drinks just kept coming, she really was so attentive to us!) , to the stay (the room was comfortable and super clean, they also prepared some cakes and sweets in celebration of our friend’s hens night) and the amenities was wonderful. I’m already planning my next staycation there next month because of them!","The breakfast was good but I found some of the hot food abit cold , not too sure why. ie hot on the outside, cold inside",Angeline,Group,Deluxe King Suite with Executive Lounge Access,1,"21, 2022",Singapore,sg,[List]
Wonderful,9,Great variety,,Sio,Couple,Club Deluxe Room with Executive lounge access,1,"18, 2022",Singapore,sg,[List]
Very Good,8,Staff Hazel at the Club Lounge provided an exceptional service. She is warm and friendly. Gave suggestions on what to order.,The bake items could be less sweet.,Seok,Couple,Club Premier Room with Executive Lounge Access,2,"18, 2022",Singapore,sg,[List]
short staycay to rejuvenate! needed it. love it. thankyouuu,9,the place is pretty and cool! especially the lights and display in the lobby and lifts!,NA,Yasmin,Group,Large Family King Room with Sofa Bed,2,"9, 2022",Singapore,sg,[List]
Very Good,8,Front desk staff was friendly and helpful. Location was great as it’s near to malls and very accessible.,There should be more hooks to hang clothes in the bathroom. Curtain control and light switch not very responsive.,Shirley,Family,Deluxe Guest Room with King Bed,2,"19, 2022",Singapore,sg,[List]
"excellent, loved it",7,location central to singapore,"built up, not my style for hotel rooms",James,Couple,Deluxe Guest Room with King Bed,5,"18, 2022",United Kingdom,gb,[List]
Exceptional,10,We are welcome from the moment i step out of my Grab. The staff walk me to front desk and share about his hotel apps and casual warmth welcome that Wow us. Then he handed his service to front desk lady. pretty. Cool. Uoung and super friendly.,,Rukhayaty,Couple,Premier Guest Room with Marina Bay View,1,"13, 2022",Singapore,sg,[List]
Nice one,8,I like the bathroom n hotel lobby,Pillow!!,Hislinda,Family,Large Family King Room with Sofa Bed,2,"1, 2022",Singapore,sg,[List]
We had a fabulous staycation at the hotel. The location is great with lot of restaurants and shops close by. We enjoyed,9,"The location, views, food.",Nothing.,Vaishali,Family,Premier Guest Room with Marina Bay View,2,"27, 2022",Singapore,sg,[List]
"Modern, clean and classy hotel in a very convenient location,",9,"location, decor, rooms and service all great, its very conveniently located and the breakfast is fantastic",nothing,Paul,Couple,Club Deluxe Room with Executive lounge access,1,"24, 2022",Singapore,sg,[List]
Will be back,9,"Service level, cleanliness",,Linda,Family,"Deluxe Room Twin, Guest room, 2 Twin/Single Bed(s)",1,"22, 2022",Singapore,sg,[List]
31 Jan - 1 Feb,8,"Check-in and check-out was fast and the staff were  polite and helpful.
Breakfast was sumptous and the staff were pro-active and polite
Request for toiletries was generous and fast. Staff was helpful and polite.","I book a Deluxe King Suite with access to Executive Lounge. Was informed during check in that Lounge was full and was ask to change to one that do not have access to to the lounge. Perhaps someone could have keep track on the Lounge capacity and not to sell it to hotel guest when it is full.
The 2 TVs in my room were not working. Hotel engineer was able to repair one of them.",Cheong,Family,Deluxe King Suite with Executive Lounge Access,1,"1, 2022",Singapore,sg,[List]
Very Good,8,good!!,except the breakfast 😂,Kerry,Couple,Premier Guest Room with Marina Bay View,2,"29, 2022",Singapore,sg,[List]
Love the stay! 360 round excellent view. cleanness come with excellent breakfast! i definitely will want to revisit agai,9,very clean & excellent view & location!,nil.,Cena,Couple,Deluxe Guest Room with King Bed,1,"29, 2022",Singapore,sg,[List]
Good,7,good location. pool is amazing!,"Stayed for 2 nights. Room service is slow. Room service - food and presentation is poor. Should have better trained their staff in room service table presentation. Food came messed up and unorganised. 
Phone operator take ages to be answered.",Jay,Couple,Deluxe Guest Room with King Bed,2,"24, 2022",Singapore,sg,[List]
good place reasonable value,9,location,breakfast arrangement,Hooi,Couple,Premier Guest Room with Marina Bay View,7,"23, 2022",Malaysia,my,[List]
Good,7,,,Youting,Family,Deluxe Guest Room with King Bed,2,"3, 2022",China,cn,[List]
Wonderful,9,,,Qian,Couple,"Deluxe Room Twin, Guest room, 2 Twin/Single Bed(s)",5,"28, 2022",China,cn,[List]
Wonderful,9,,,Thuy,Solo traveler,Deluxe Guest Room with King Bed,21,"3, 2022",Vietnam,vn,[List]
Wonderful,9,,,Chui,Couple,Premier Room 1 King,1,"28, 2021",Singapore,sg,[List]
Very Good,8,,,Giovanni,Solo traveler,Deluxe Guest Room with King Bed,1,"3, 2021",Singapore,sg,[List]
Very Good,8,,,Li,Solo traveler,Deluxe Guest Room with King Bed,1,"27, 2021",Singapore,sg,[List]
Very Good,8,,,Li,Solo traveler,Deluxe Guest Room with King Bed,1,"12, 2021",Singapore,sg,[List]
Wonderful,9,,,Takahide,Solo traveler,Deluxe Guest Room with King Bed,4,"21, 2020",Japan,jp,[List]
Exceptional,10,,,Oliver,Family,Deluxe Guest Room with King Bed,3,"16, 2020",Germany,de,[List]
Wonderful,9,,,Emiko,Solo traveler,Deluxe Guest Room with King Bed,3,"1, 2020",Japan,jp,[List]
Exceptional,10,,,Armerinda,Couple,Studio Room with King Bed,2,"26, 2020",Austria,at,[List]
Exceptional,10,,,Xiaozhu,Couple,Studio Room with King Bed,3,"24, 2020",China,cn,[List]
Exceptional,9.6,,,Yuri,Group,Premier Room 1 King,1,"14, 2020",Japan,jp,[List]
Very Good,8.3,,,Anna,Group,Deluxe Guest Room with King Bed,2,"9, 2020",South Korea,kr,[List]
Good,7.5,,,Haruyoshi,Family,Club Deluxe Room with Executive lounge access,4,"3, 2020",Qatar,qa,[List]
Wonderful,9.2,,,Tetsuya,Family,Premier Guest Room with Marina Bay View,5,"3, 2020",Japan,jp,[List]
Exceptional,10,,,Guishan,Solo traveler,Studio Room with King Bed,2,"3, 2020",China,cn,[List]
Very Good,8.3,,,Erbol,Solo traveler,Deluxe Guest Room with King Bed,1,"23, 2019",Kazakhstan,kz,[List]
Wonderful,9,,,Thinawat,Solo traveler,Premier Guest Room with Marina Bay View,1,"18, 2019",Thailand,th,[List]
Good,7,,,Hiroyuki,Group,"Deluxe Room Twin, Guest room, 2 Twin/Single Bed(s)",1,"12, 2019",Japan,jp,[List]
Very Good,8.3,,,Xin,Family,"Premier Room Twin, Larger Guest room, 2 Twin/Single Bed(s)",5,"31, 2019",China,cn,[List]
Wonderful,9.2,,,鈴木,Group,Deluxe Guest Room with King Bed,9,"27, 2019",Japan,jp,[List]
Exceptional,9.6,,,Rogelia,Solo traveler,Deluxe Guest Room with King Bed,2,"21, 2019",Netherlands,nl,[List]
Exceptional,9.6,,,Timo,Group,Studio Room with King Bed,4,"19, 2019",Finland,fi,[List]
Exceptional,10,,,Ekaterina,Solo traveler,Premier Room 1 King,1,"3, 2019",China,cn,[List]
Wonderful,9,,,Anonymous,Family,,2,"21, 2022",Singapore,sg,[List]
Exceptional,10,,,Anonymous,Couple,,3,"1, 2022",Singapore,sg,[List]
Good,7,,,Anonymous,Family,,2,"3, 2022",Singapore,sg,[List]
Exceptional,10,,,Anonymous,Group,,1,"22, 2021",Singapore,sg,[List]
Very Good,8,,,Anonymous,Family,,2,"23, 2020",Singapore,sg,[List]
Exceptional,10,,,Anonymous,Couple,,1,"21, 2020",Singapore,sg,[List]
Very Good,8,,,Anonymous,Family,,2,"13, 2020",Singapore,sg,[List]
Wonderful,9,,,Anonymous,Family,,2,"21, 2020",Singapore,sg,[List]
Exceptional,10,,,Anonymous,Couple,,3,"6, 2020",United States of America,us,[List]
Excellent,8.8,,,Anonymous,Solo traveler,,2,"16, 2020",Singapore,sg,[List]
Good,7.9,,,Anonymous,Family,,2,"13, 2020",Spain,es,[List]
Exceptional,9.5,,,Anonymous,Couple,,4,"25, 2020",United Kingdom,gb,[List]
Exceptional,9.6,,,Anonymous,Couple,,1,"17, 2020",Singapore,sg,[List]
Very Good,8,,,Anonymous,Group,,2,"6, 2020",Malaysia,my,[List]
Excellent Stay!,10,,,Anonymous,Couple,,1,"29, 2019",Singapore,sg,[List]
Exceptional,9.6,,,Anonymous,Group,,1,"25, 2019",Singapore,sg,[List]
Exceptional,10,,,Anonymous,Couple,,3,"1, 2019",Australia,au,[List]
Wonderful,9,,,Anonymous,Family,,6,"18, 2019",China,cn,[List]
Wonderful,9,,,Anonymous,Couple,,6,"4, 2019",Singapore,sg,[List]
Exceptional,9.6,,,Anonymous,Group,,3,"22, 2019",Sweden,se,[List]
Wonderful,9,,,Hajime,Family,Deluxe King Suite with Executive Lounge Access,1,"4, 2022",Vietnam,vn,[List]
Exceptional,10,,,Yuka,Family,Deluxe King Suite with Executive Lounge Access,2,"16, 2022",Japan,jp,[List]
Very Good,8,,,Youting,Couple,Large Family King Room with Sofa Bed,4,"27, 2022",China,cn,[List]
Very Good,8,,,Jeeyong,Couple,"Deluxe Room Twin, Guest room, 2 Twin/Single Bed(s)",3,"22, 2022",South Korea,kr,[List]
Very Good,8,,,Marcel,Solo traveler,Deluxe Guest Room with King Bed,4,"10, 2022",Netherlands,nl,[List]
Excellent,8.8,,,Hui,Couple,Deluxe Guest Room with King Bed,1,"26, 2019",Singapore,sg,[List]
