title,score,positive,negative,guestName,travellerType,room,nightsStay,date,country,countryCode,photos
Exceptional,10,,,Anonymous,Couple,,1,"8, 2022",,,[List]
Exceptional,10,,,Anonymous,Couple,,4,"15, 2020",Switzerland,ch,[List]
Exceptional,10,,,Anonymous,Couple,,2,"7, 2020",Japan,jp,[List]
Exceptional,10,,,Anonymous,Couple,,5,"3, 2020",Belgium,be,[List]
Exceptional,10,,,Anonymous,Couple,,2,"25, 2020",Spain,es,[List]
Exceptional,9.6,,,Anonymous,Couple,,3,"18, 2020",Chile,cl,[List]
Exceptional,9.6,,,Anonymous,Couple,,2,"11, 2020",Sweden,se,[List]
Exceptional,10,,,Anonymous,Couple,,5,"11, 2020",Germany,de,[List]
Wonderful,9,,,Anonymous,Couple,,2,"18, 2019",Sweden,se,[List]
Good,7.5,,,Anonymous,Family,,4,"19, 2019",Singapore,sg,[List]
Bad,1,,,Byeongchang,Couple,Marina Bay View Room King,3,"19, 2022",South Korea,kr,[List]
Good,7,,,Wei,Couple,Premier King Room,5,"10, 2022",Taiwan,tw,[List]
Good,7,,,Sakura,Couple,Ocean View Room King,5,"18, 2022",Singapore,sg,[List]
Very Poor,2,,,Tang,Family,Ocean View Room King,2,"20, 2022",Hong Kong,hk,[List]
Fair,5,,,Ota,Family,City Suite Twin,1,"27, 2022",Singapore,sg,[List]
Pleasant,6,,,Patrick,Couple,Marina Bay Suite King,2,"19, 2021",France,fr,[List]
Pleasant,6,,,Chuanle,Couple,City Suite King,1,"10, 2021",Singapore,sg,[List]
Poor,3,,,Mineko,Family,Ocean Grand Twin,1,"5, 2021",Japan,jp,[List]
Good,7,,,기범,Group,Ocean View Room Twin,1,"29, 2020",Singapore,sg,[List]
Pleasant,6,,,Yi,Group,Marina Bay View Room Twin,1,"28, 2020",Singapore,sg,[List]
Good,7,,,Franco,Family,Ocean View Room Twin,2,"29, 2020",Chile,cl,[List]
Good,7,,,Reiko,Group,Club Marina Bay Twin,1,"3, 2020",Japan,jp,[List]
Pleasant,6,,,Jong,Couple,Marina Bay View Room King,2,"28, 2020",South Korea,kr,[List]
Fair,5.4,,,Jung,Family,Ocean View Room King,3,"26, 2019",Indonesia,id,[List]
Poor,3,,,Lizhou,Couple,Marina Bay View Room King,3,"23, 2019",Sri Lanka,lk,[List]
Good,7,,,Masayo,Group,Marina Bay View Room Twin,1,"14, 2019",Japan,jp,[List]
Good,7.1,,,Hidehiro,Family,Marina Bay View Room King,1,"27, 2019",Japan,jp,[List]
Pleasant,6.7,,,Sandra,Couple,Marina Bay View Room King,4,"8, 2019",Switzerland,ch,[List]
Exceptional,10,,,Anonymous,Couple,,5,"23, 2022",South Korea,kr,[List]
Exceptional,10,,,Anonymous,Couple,,5,"23, 2022",South Korea,kr,[List]
Exceptional,10,,,Anonymous,Solo traveler,,6,"23, 2022",South Korea,kr,[List]
Exceptional,10,,,Anonymous,Solo traveler,,6,"23, 2022",South Korea,kr,[List]
Exceptional,10,,,Anonymous,Couple,,6,"23, 2022",South Korea,kr,[List]
Exceptional,10,,,Anonymous,Couple,,5,"17, 2022",South Korea,kr,[List]
Exceptional,10,,,Anonymous,Couple,,2,"12, 2022",Germany,de,[List]
Exceptional,9.6,,,Sonja,Couple,Ocean View Room King,1,"20, 2019",Netherlands,nl,[List]
Exceptional,10,,,Youngmin,Couple,Marina Bay View Room King,2,"30, 2019",South Korea,kr,[List]
Wonderful,9,,,Anders,Couple,Club Marina Bay King,5,"18, 2019",Sweden,se,[List]
Wonderful,9,,,Hiroshi,Family,City Suite Twin,3,"13, 2019",Japan,jp,[List]
Wonderful,9.2,,,José,Couple,Ocean View Room Twin,6,"12, 2019",Portugal,pt,[List]
Wonderful,9,,,Ernst,Solo traveler,Marina Bay View Room King,4,"11, 2019",Switzerland,ch,[List]
