title,score,positive,negative,guestName,travellerType,room,nightsStay,date,country,countryCode,photos
Exceptional,10,excellent in every moment of our stay,too shiny 😍,Fabrizio,Couple,Deluxe Twin,1,"9, 2022",Italy,it,[List]
Loved every bit of it.,10,Amazing hotel with amazing staff.,Nothing,Afaq,Family,Deluxe King Harbor View Room,1,"9, 2022",Pakistan,pk,[List]
Exceptional,10,Wonderful view and Super excellent Service!,,Catherine,Family,Deluxe Twin Garden View Room,1,"9, 2022",United States of America,us,[List]
Wonderful,9,"i like the hotel location also facility, staff friendly and room very clean",,Quang,Couple,Deluxe Twin,2,"8, 2022",Vietnam,vn,[List]
Excellent,10,We did not even get out of the hotel. All we needed were there in the hotel.,Nothing,Criselda,Group,Deluxe Twin,3,"8, 2022",Philippines,ph,[List]
Happy to stay more nights if get other holiday on next time,8,The room is clearn. Have a great garden view.,Nothing,Yujuan,Group,Deluxe Twin,1,"8, 2022",Australia,au,[List]
Very Good,8,Amazing pool,,Lara-an,Couple,Deluxe King,1,"7, 2022",Belgium,be,[List]
Exceptional,10,"What a place this is! Almost a destination in its own right. The view over Singapore from the higher floors is spectacular. And, of course, the rooftop pool is out of this world. This stay will live long in our memories.",,David,Family,Deluxe King Sky View,1,"7, 2022",United Kingdom,gb,[List]
if you can afford it - do it! absolutely no regrets.,9,"everything you can think of and more
the view from the bed, the restaurants, the pool, the shops, the service …","check in takes forever
late checkout is obscenely priced.",Rene,Group,Deluxe King Garden View Room,2,"7, 2022",Germany,de,[List]
Excellent choice for a perfect stay,10,"Amazing stay, suite with wonderful Singapore view. Staff took great care of us with room upgrade to a high floor, cake and complimentary breakfast as we were celebrating an anniversary.",Nothing.,Nathanel,Couple,Deluxe Twin City View Room,1,"7, 2022",France,fr,[List]
Watched the sunset on a swimming pool in the sky. What else can you ask for?,10,"I mean, what can you say? Staying here, more than the quality of the accomodation and the place itself, its an experience. Staying in the most iconic place of Singapore and watching the sunset on a swimming pool in the sky... can be seen as a check on a bucketlist.","Would love to have used the SkyPark on the last day after checkout, but it wasn't allowed.",Andre,Solo traveler,Deluxe Twin Garden View Room,2,"6, 2022",Portugal,pt,[List]
visitors should not be allowed,8,the roof top pool.,bedrooms and washrooms were very very simple. Lobby was overcrowded.,Sugandha,Family,Deluxe Twin,2,"6, 2022",India,in,[List]
I will visit again,10,Everything,Late room service,Suhad,Couple,Deluxe King Sky View,6,"5, 2022",Palestinian Territory,ps,[List]
"Well worth a stay, looked after exceptionally well. would stay again",9,"Lovely and clean, great facilities and friendly staff",Bed and pillows slightly uncomfortable but just personal preference,Holly,Couple,Deluxe King,1,"5, 2022",United Kingdom,gb,[List]
Wonderful,9,Amazing👍,,Eunsil,Family,Deluxe King Harbor View Room,1,"4, 2022",Australia,au,[List]
"excellent experience, will come back for longer stay!",10,place is very clean and good connection to nearby attractions.,n/a,Sherwin,Couple,Deluxe King Garden View Room,1,"4, 2022",India,in,[List]
Exceptional,10,"Amazing views, good food, great service, infinity rooftop pool",,Jordan,Couple,Deluxe King Garden View Room,3,"4, 2022",United States of America,us,[List]
"Stay is great, value for money",10,Had a great stay with Marina Bay Sands. Just so happened not much time to enjoy the facilities like the infinity pool and gym. Will be back soon and enjoy them. Food is fantastic. Room is nice. Employees are all so courteous. Will refer this hotel to friends.,None,Sansu,Group,Deluxe King Garden View Room,6,"4, 2022",Philippines,ph,[List]
Exceptional,10,"Andreas at reception was so efficient, informative and makes us extremely welcomed. Well done.",,Seng,Family,Deluxe Twin,2,"4, 2022",Malaysia,my,[List]
"we very much enjoyed our stay for the shopping, restaurants, and location for gardens by the bay.",10,location and activities,,Koch,Couple,Deluxe King Harbor View Room,3,"4, 2022",Singapore,sg,[List]
to repeat again,10,"the room, the location, everything!",nada a apontar,Hugo,Family,Deluxe Twin,1,"4, 2022",Portugal,pt,[List]
Unforgettable experience.,9.6,One of the most friendly hotel staff put together.,Nothing,Gregory,Couple,Deluxe King Harbor View Room,6,"4, 2022",United States of America,us,[List]
amazing hotel in an amazing place,10,"perfect location, amazing staff, beautiful views.",nothing others than you need a map to find your way around!!,Ann,Couple,Deluxe King Harbor View Room,2,"4, 2022",United Kingdom,gb,[List]
Exceptional,10,"Baggage storage before and after check-in saved us time and allowed us to roam the area freely without worrying about our bags.
Check-in was smooth and the Customer Service Team were kind enough to allow us an early check-in and late check-out.
All the staff were friendly, and accommodation was exceptionally clean.",Bed and pillows were a bit too firm,Vivian,Group,Deluxe Twin,1,"4, 2022",Australia,au,[List]
Exceptional,10,The infinity pool is amazing.,Everything was perfect.,Abhijeet,Family,Deluxe Twin City View Room,4,"3, 2022",United Kingdom,gb,[List]
Lovely hotel.,10,Wonderful experience.,Everything was good.,Rachael,Couple,Deluxe King,1,"3, 2022",United Kingdom,gb,[List]
"We had a beautiful stay, staff was helpful and attentive. Special thanks to housekeeping, they made sure each time they",10,it’s close proximity to the mall and tourist attractions,,Samukelisiwe,Couple,Deluxe King Harbor View Room,7,"3, 2022",South Africa,za,[List]
Almost perfect. would visit just to stay there.,9,Everything.,"The app didn't work for us. We couldn't get any amenities from the app. Dial 0 wasn't working, too.",Mikhael,Couple,Deluxe King Sky View,2,"1, 2022",Australia,au,[List]
Eye opening,10,everything,n/a,Quanisha,Couple,Deluxe King Harbor View Room,2,"1, 2022",United States of America,us,[List]
Overall the hotel was great but the price is on the high side.,10,The room was great and the infinity pool was exceptional especially the view from Level 57. The location is superb.,The hotel is quite crowded and lots of people.,Chuan,Family,Deluxe Twin Garden View Room,2,"31, 2022",Germany,de,[List]
Absolutely phenomenal from start to finish.,10,Absolutely phenomenal from start to finish. We were on honeymoon and upgraded!,That we hadn’t booked it for longer ! It was more than we had dreamed of.,Grace,Couple,Deluxe King Harbor View Room,1,"31, 2022",United Kingdom,gb,[List]
love it I’ll definitely come back,10,everything,I can’t complain,Paxenxa,Couple,Deluxe King Sky View,2,"31, 2022",United States of America,us,[List]
A luxury stay,10,Incredible modern structure with spacious rooms and friendly and helpful staff.,,Francesco,Couple,Deluxe Twin,1,"30, 2022",Italy,it,[List]
We had the most amazing stay! Thank you so much to all the staff for their amazing hospitality!,10,"friendly staff, infinity pool, beautiful room",Please replace plastic bottles with refillable 😀,Kate,Couple,Deluxe King Harbor View Room,1,"30, 2022",United Kingdom,gb,[List]
i enjoy in your hotel even short time,9,good place to enjoy and clean,nothing to say,Do,Family,Deluxe King Garden View Room,2,"30, 2022",Vietnam,vn,[List]
Exceptional,10,We had a wonderful stay and will definitely be back,,Keith,Family,Deluxe Twin,4,"30, 2022",United Kingdom,gb,[List]
fantastic hotel especially the rooftop/harbour view,9,the view and location,,Ole,Couple,Deluxe King Harbor View Room,1,"29, 2022",Norway,no,[List]
Amazing and the hotel didn't disappoint!,10,"Clean, very accommodating and they really take care of their clients.",none,Victoria,Family,Deluxe King Harbor View Room,2,"29, 2022",United States of America,us,[List]
Exceptional,10,Once in a lifetime experience for the pool and the views.,,Darya,Family,Deluxe King,1,"29, 2022",Italy,it,[List]
We had the most wonderful stay!,10,Wonderful facilities and such friendly staff.,,Jessica,Couple,Deluxe King Garden View Room,1,"28, 2022",United Kingdom,gb,[List]
Great experience,9,Great place to have fun,Everything was going well,Airton,Family,Deluxe King Garden View Room,3,"28, 2022",Brazil,br,[List]
probably the best hotel in the world,10,the hotel itself…,maybe the price :),Ilias,Group,Deluxe Twin Garden View Room,1,"28, 2022",Greece,gr,[List]
"if it wasn’t too expensive to stay, I would definitely come again. But the experience was all worth it.",9,it’s lived up to its expectations and we thoroughly enjoyed our stay and experiences. The staff were so accommodating especially the housekeeping guy that did our room. Great vacation!,The comfort room should have a bidet.,Marilyn,Group,Deluxe King Harbor View Room,2,"28, 2022",United States of America,us,[List]
"the stay was amazing spent most of the time up on the infinity pool as most people do, could not fault our stay.",10,"No questions asked the infinity pool! and also how 
friendly the staff were.",Nothing,Anthony,Group,Deluxe Twin City View Room,1,"28, 2022",Australia,au,[List]
I was expecting bigger room and bed knowing how expensive this hotel is.,9,The location is very nice. Our rooms have nice views,The room is very small. The balcony doesn't have a light. The toilet does not have a bidet. Not enough full size mirrors. Again the room is not spacious enough.,Cristina,Family,Deluxe Twin Garden View Room,2,"28, 2022",Philippines,ph,[List]
Astonishing,10,"Swimming pool, view.",The food in LAVO Italian restaurant.,Paolov64,Family,Deluxe King Sky View,1,"28, 2022",Italy,it,[List]
Excellent stay at Marina Bay Sands making a special trip even more memorable,10,"MBS is an amazing hotel with excellent staff. I would highly recommend staying there if visiting Singapore for more than 3 days.
We stayed in an Orchard Suite, which was absolutely amazing and provided breathing views of Singapore. This level of accommodation also included Club facilities, which offered afternoon tea and nightly canapés and drinks.
The overall hotel experience was excellent. Nothing is too much trouble for the staff who always place the guests first.",Nothing,Peter,Couple,Orchid Suite City View,3,"28, 2022",United Kingdom,gb,[List]
Exceptional,10,"Great place with extraordinary service, amazing views, the famous pool and shopping and restaurants all around. I will recommend this hotel to anyone I know.",None,Cobi,Family,Orchid Suite Garden View,4,"28, 2022",Israel,il,[List]
amazing location and food,10,"size, location and value",nil,Tacita,Couple,Deluxe King Garden View Room,3,"28, 2022",Australia,au,[List]
Exceptional,10,Pool,"Check in , demorado",Nector,Solo traveler,Deluxe Twin,3,"28, 2022",United States of America,us,[List]
Exceptional,9.6,"They gave us a free room up grade!
Great city view!","The pool is too crowded!
Drinks and food too expensive!",Felipe,Couple,Deluxe King City View Room,2,"14, 2020",Brazil,br,[List]
Exceptional,10,The most amazing hotel i have ever stayed in.,Paying extra charges to get a room with city view.,Saleh,Couple,Deluxe King,1,"14, 2020",Saudi Arabia,sa,[List]
"Booked 2 premier rooms, but the hotel gave us a suite! We only stayed one night but the views in very direction and loca",9.6,Has the best view of the skyline and more!  Staff was so friendly and helpful.,,Patricia,Family,Premier King Garden View Room,1,"14, 2020",United States of America,us,[List]
Amazing,10,"The hotel was amazing, the room was beautiful. The staff were really really great. A lady called Hill who checked us in was very helpful! The view is wonderful.",,Charlotte,Couple,Deluxe King,1,"14, 2020",United Kingdom,gb,[List]
"Expensive, but worth it.",9.6,"While MBS is expensive you get what you pay for - the rooms are huge and very well appointed, and of course the view is unbeatable.",,Duncan,Couple,The Club Room King City View,1,"14, 2020",United Kingdom,gb,[List]
Wonderful,9,The pool was just great,too crowd,Younjin,Couple,Deluxe Twin City View Room,1,"14, 2020",South Korea,kr,[List]
Would love to book this hotel again at our next visit to Singapore,9,"As the iconic hotel in Singapore, definitely worth the try. the staff are all very friendly and helpful, very nice view in the room even in the lower floor. 
Also at the day we checked in was my BF's birthday, the hotel prepared a chocolate muse cake which is very lovely and delicious.",,Yoki,Couple,Deluxe King,1,"13, 2020",New Zealand,nz,[List]
Kuwait,9.6,Every thing,,Hussain,Group,Deluxe King City View Room,2,"13, 2020",Kuwait,kw,[List]
