title,score,positive,negative,guestName,travellerType,room,nightsStay,date,country,countryCode,photos
Exceptional,10,The rooms were great,It took about 15-20 minutes to check out.,Paul,Solo traveler,Deluxe King or Twin Room,3,"7, 2022",Australia,au,[List]
Wonderful,9,"staff , japanese restaurant",,Vv,Solo traveler,Deluxe King or Twin Room,1,"5, 2022",India,in,[List]
Great Check-In Experience,10,Very great service and professional hotel,"Breakfast, room and check-in manager",Thomas,Solo traveler,Harbor Studio,3,"5, 2022",Hong Kong,hk,[List]
Excellent.,9,"Love the view, friendliness, and vibration to the hotel","Cannot fault any, although more water bottles instead of 2 per day.",Benjamin,Solo traveler,Deluxe King or Twin Room,5,"3, 2022",Australia,au,[List]
Location is bar none. Great if you are bringing kids.,8,Room was super comfortable and of a good size. Hotel was kind enough to provide a HDMI cable although it would be nice if they upgraded to Google Cast like some of the other hotels or service apartments.,Staff wasn't as friendly as I had expected. I mean they were nice and I did not meet any rude guests. But definitely not like Shangri-La quality.,Benjamin,Family,Deluxe King or Twin Room,3,"3, 2022",Singapore,sg,[List]
great location and easy to walk around the city,8,convenient,nil,Yu,Group,Deluxe Double or Twin Room with Balcony,13,"3, 2022",Hong Kong,hk,[List]
Wonderful,9,,Balcony don't have lights,Jivijaya,Family,Deluxe Double or Twin Room with Balcony,3,"2, 2022",Singapore,sg,[List]
I am travelling to Singapore next month and will be stayin in the same hotel :),10,"Loved the food, ambience and absolutely everything",Room service was a bit slow,Kirti,Solo traveler,Deluxe Double or Twin Room with Balcony,3,"31, 2022",Australia,au,[List]
Exceptional,10,"Very clean
Great location
Lovely staff
Loved the Balmain toiletries
Loved the balcony and city view",-,Lina,Couple,Deluxe Double or Twin Room with Balcony,2,"28, 2022",United Kingdom,gb,[List]
awesome,8,"swimming pool, lift, interconnecting room",pricey,Lyn,Group,Connecting Deluxe Balcony,1,"28, 2022",Singapore,sg,[List]
Son birthday,9,Love the pool,Think the door access to malls should open more. And birthday should give proper cake instead of a box of snacks.,Nazreen,Family,Panoramic King or Twin Room,1,"27, 2022",Singapore,sg,[List]
"Overall, the stay is really comfortable and no regrets choosing Pan Pacific Hotel.",8,"Friendly staff, the fast check-in process.
Rooms - big and the toilet too
Breakfast - Standard options
Location - very accessible to many different kinds of food and can link to different shopping malls with shelter.","The power outlets in some parts of the room are not able to charge fast OR halfway charging, it will stop charging. 
We ordered in-room dining and after finishing the food and push the trolley outside the room, it was not cleared and I had to call the Service line for them to clear it and it is not once but twice.",Alexwong75,Family,Deluxe King or Twin Room,3,"27, 2022",Singapore,sg,[List]
Will be back again!,9,Very helpful reception at check in and check out. Problem with room key was fixed immediately .,"Due to covid, the entrance from Marina Square carpark escalator closes early. There is a phone but it seems nobody actually answered it. Can consider stationing someone there until the mall is completely shuttered .",Tze,Couple,Deluxe Double or Twin Room with Balcony,3,"27, 2022",Singapore,sg,[List]
Good choice for Short stay in Singapore,10,"good location, nice interior, lobby is very comfortable & pictorials.",nothing,Sandeep,Solo traveler,Deluxe Double or Twin Room with Balcony,1,"27, 2022",India,in,[List]
First time,9,The room especially the spacious balcony which is facing Marina ! Location was super convenient . Friendly staff .,They didnt have any halal restaurant despite many Muslim patrons their hotel . & there is no bidet in the toilet + it was not even near to the shower area as it got seperate with the washing hand basin part .,Nur,Couple,Deluxe Double or Twin Room with Balcony,1,"27, 2022",Singapore,sg,[List]
Great stay at the hotel. Food for breakfast was good although the selection can be slightly more..,9,It’s accessible. Enough activities for kids!,Hopefully able to cater to a bigger number of pax for suites booking.,Shahreel,Family,City Suite,1,"25, 2022",Singapore,sg,[List]
"Excellent location, worth of the money spent",10,"The stay was amazing, excellent rooms and facilities",,Arij,Group,Deluxe King or Twin Room,4,"25, 2022",India,in,[List]
Value for money,9,The room is above expectation and supern clean,Na,Mohd,Couple,Panoramic King or Twin Room,1,"23, 2022",Singapore,sg,[List]
the room was spacious,8,very convenient to find restaurants and many eateries near by,very good,Lau,Couple,Deluxe King or Twin Room,1,"23, 2022",Singapore,sg,[List]
Impressive hotel but price for food and drinks meant we only used it to sleep in,8,Impressive interior. Pool required booking of a slot but didn't have any issues with not being able to go.,"Check-in was slow and we were moved to another, slower line and had to wait 30 minutes while people who were behind us on the other line got checked in and headed to their room. Drinks are grossly overpriced - 8 dollars for a Coke - so instead of spending time and money in the hotel relaxing with a drink we were elsewhere.",Brian,Family,Deluxe Double or Twin Room with Balcony,3,"22, 2022",Singapore,sg,[List]
can’t wait to stay again,10,"location was central to everything, the staff were friendly and super helpful",pillows were a little hard,Sarah,Family,Deluxe Double or Twin Room with Balcony,7,"22, 2022",Australia,au,[List]
nice ambience,8,Na,na,Nur,Couple,Panoramic King or Twin Room,3,"21, 2022",Singapore,sg,[List]
Very relaxing stay,9,"The room is comfortable and spacious. 
Service is very prompt and attendtive",The level of housekeeping shall be improved,Lee,Family,City Suite,3,"21, 2022",United Arab Emirates,ae,[List]
Had a good time,9,The staff is amazing . Breakfast is great . Great place to stay with Kids,Instructions for use of facilities not displayed well enough,Srinayan,Family,Deluxe Double or Twin Room with Balcony,3,"21, 2022",India,in,[List]
Very Good,8,The place was situated conveniently around the malls and places to eat.,,Norazhar,Couple,Panoramic King or Twin Room,1,"20, 2022",Singapore,sg,[List]
exceeded our expectations,10,everything- was perfection,nothing,John,Couple,Deluxe King or Twin Room,3,"13, 2022",Australia,au,[List]
Wonderful time with great food and gorgeous views,9,Great location and helpful staff (:,some of the fittings seem a bit dated but that didn’t take away from the entire stay (:,Deniisha,Group,Panoramic King or Twin Room,3,"11, 2022",Singapore,sg,[List]
Will visit again,10,"Great service, amazing room with a view. Room was luxurious.",nothing to complain about,Jean,Couple,Deluxe Double or Twin Room with Balcony,1,"11, 2022",Singapore,sg,[List]
"The club lounge, facilities, and room comfort, were worth paying for. we had a very memorable stay and enjoyed the price",10,"Service was impeccable, the breakfast and high tea spread was great. The views at the club lounge were to die for, especially at sunset.",the shower area was a little small.,Brenda,Couple,Pacific Club Room,1,"11, 2022",Singapore,sg,[List]
citytrip,9,"The fantastic breakfast 
the friendly staff and housekeeping",nothing,Paul,Family,Deluxe Double or Twin Room with Balcony,3,"5, 2022",Netherlands,nl,[List]
A must experience to do,8,"We had a deluxe room with a balcony that looked across the marina towards the Marina Sands Hotel.  Our king bed was v comfortable and hard to get out of most days.  The room was spacious with well appointed lighting, there were power sockets with USB charging and HDMI ports.  Our USB charging outputs did not work, but we are prepared for those moments by taking a multi power box with USB charging and plenty of adaptors (UK fittings for SG).  There is only one power socket beside the bed so you need an extra long cord if you want to charge your devices from the bedside without a power socket.  There were two phones in the room if your using the work station. The real treat is the shower, 3 types to choose from, rain, spa and hand.  Hotel location is perfect with corridors to the shopping malls, MRT Promenade is a 5 min walk.  Here is the small things that need improvement, room service is too slow, it took an hour for a toasted sandwich and the order was still wrong, the trolley sat outside the room for near to 24 hrs, I took it back to reception.  You dont get any reward points unless you book direct.  My partner had strained a knee muscle and the team was amazing and caring we got all the support needed.  However sometimes you need to explore your requests a little more deeply with the right person in order to get what you reasonably need, ask to speak to someone who knows the system a bit better.  Overall it was worth every cent and we will go back.","as above, not much really.",Ramon2022,Couple,Deluxe King or Twin Room,6,"2, 2022",New Zealand,nz,[List]
A true 5 star hotel in a great location. Have stayed many times and will again,9,Always a great place to stay in Singapore,Nothing,Martin,Solo traveler,Deluxe Double or Twin Room with Balcony,1,"2, 2022",New Zealand,nz,[List]
Great location,10,Hotel was well connected to many shopping malls.,Pool can get too crowded on weekends.,Shaun,Couple,25-Hours Vacation - Panoramic King or Twin Room,1,"2, 2022",Singapore,sg,[List]
Wonderful,9,all,none,Pho,Solo traveler,Deluxe King or Twin Room,3,"2, 2022",Australia,au,[List]
Exceptional,10,"5 star location and amenities 
Great views",No 24 hour room service,Tim,Couple,Deluxe Double or Twin Room with Balcony,2,"29, 2022",Macau,mo,[List]
