title,score,positive,negative,guestName,travellerType,room,nightsStay,date,country,countryCode,photos
Wonderful experience I'd love to repeat!,9,"The hotel went above and beyond to setup a tent for my toddler in the room.. He absolutely loved it!
Shangri-la went above and beyond!",N.A.,Juliet,Family,Tower Wing Deluxe King Room,2,"12, 2022",Singapore,sg,[List]
Fantastic family staycation,10,Amazing service from everyone ! Children are well provided for...,Location is less ideal .,Rathi,Family,Horizon Club Junior Suite King,1,"11, 2022",Singapore,sg,[List]
Very Good,8,,they over charged the holding fees by double the total cost of the stay,Chris,Family,Garden Wing Deluxe Family Terrace King,2,"11, 2022",Australia,au,[List]
"Fantastic time, kids love it.",9,Staff were friendly and helpful even though it was a very busy time for them.,"Upon checking in at 3pm, my room was available only at 4.30pm - but this was probably due to my request at the counter to change the bed configuration from 2 beds to a single king bed. Staff gave me a coupon for free drinks and also complimentary session at buds for my children, which was much appreciated.",Michelle,Family,Tower Wing Deluxe Twin Room,2,"9, 2022",Singapore,sg,[List]
"quite enjoyable, will recommend to friends.",9,"very convenient, the room is very comfortable, service is exceptional.","the time limits for the kids water park and playground is not flexible. I stay for two nites but I can only play one hour per day, so I can’t choose to use the two hours in one day.",迺丹,Family,Tower Wing Deluxe King Room,2,"9, 2022",Malaysia,my,[List]
Exceptional,10,kids friendly. My family love it.,,Cheryl,Family,Garden Wing Deluxe City King,2,"4, 2022",Singapore,sg,[List]
Nice,8,Pool,,Jeremy,Family,Tower Wing Deluxe King Room,8,"4, 2022",Australia,au,[List]
Exceptional,10,"The room is spacious, it comes with a ceiling fan. I am able to open the sliding door and just keep the fan on. Breathing fresh air from the room is something you dont get from other hotels.",,Dennis,Solo traveler,Garden Wing Deluxe Pool King,3,"31, 2022",Singapore,sg,[List]
We had a great stay!,9,"Location, great decorations and attention to details, good food, helpful staff",Pricey,Stefan,Family,Tower Wing Deluxe King Room,5,"31, 2022",Luxembourg,lu,[List]
We had a great stay!,9,"Location, great decorations everywhere and attention to detail, very good breakfast, helpful staff","A bit pricey but well, it´s Singapore",Stefan,Family,Tower Wing Deluxe King Room,1,"31, 2022",Luxembourg,lu,[List]
Exceptional,10,The house keeping team was super attentive and the room was super clean.,,Weng,Family,Tower Wing Deluxe King Room,4,"31, 2022",Australia,au,[List]
excellent service and facilities,10,clean and fabulous amenities,,Vajira,Couple,Tower Wing Deluxe King Room,3,"30, 2022",United States of America,us,[List]
love this hotel very close to the shops and better choice as it quiet and relaxing,9,staff friendly. Restaurants and food is exceptional and delicious.,kids wanted a slide in the pool lol,Marjorie,Family,Tower Wing Deluxe King Room,4,"28, 2022",Australia,au,[List]
Wonderful,9,Great staff,,Karan,Family,Garden Wing Deluxe City Twin,2,"27, 2022",United Arab Emirates,ae,[List]
Exceptional,10,The room and amenities were excellent. The reception service staff were fantastic and helpful.,,Shireen,Group,Garden Wing Deluxe City King,1,"27, 2022",Singapore,sg,[List]
Excellent stay! Already planning for the next one!,9,Very accommodating and friendly staff. Excellent breakfast spread. Beautiful gardens.,"Food at the restaurants and the lounge was expensive, but there were many options on Grab and foodpanda. 
Queue at check-in can perhaps be more efficiently managed if the Names, IC and date of birth of all guests be provided via email before registration / check-in. Or is there an online form that can be filled out beforehand or while we are waiting in the queue? 
Perhaps children can be allowed to play for more than 1 session a day at Buds and/or Splash if they walk in for a time slot and there are available spots.",Shulin,Family,Tower Wing Deluxe King Room,1,"26, 2022",Singapore,sg,[List]
Great staycation with toddler,10,I loved that I could take my child to Buds for a fun time. It’s also great that they require guests to make bookings for breakfast- gives us a sense of ease that we have a table secured,The food at The Line wasn’t as great as expected.,Vanessa,Family,Tower Wing Deluxe King Room,1,"25, 2022",Singapore,sg,[List]
comfortable stay at a grand hotel with small room size.,8,"Grand reception area, nice ambiance and decoration. Good pool area. Breakfast was wonderful as lots of options were provided. Neat and tidy bathroom.",Room was cluttered and smaller then expected,Virendra,Couple,Tower Wing Deluxe King Room,1,"25, 2022",Australia,au,[List]
Night sweet,9,I have been likeing the last few days,I did not like the breakfast,Abhishek,Family,Tower Wing Deluxe King Room,4,"24, 2022",India,in,[List]
Exceptional,10,Excellent kids facilities. Delicious breakfast.,,Caroline,Family,Garden Wing Deluxe City Twin,3,"23, 2022",United States of America,us,[List]
We had a excellent stay,9,Excellent Hotel; highly priced; exceptional staff; location is slightly off hence need to take a cab.,Location,Keshav,Family,Garden Wing Deluxe City King,5,"21, 2022",India,in,[List]
Fantastic trip will stay again,9,The Suite we stayed in was very nice and good size and staff were extremely friendly,Gym could be upgraded and the equipment cleaner,Kevin,Family,Horizon Club Junior Suite King,6,"21, 2022",Australia,au,[List]
The very late room availability spoilt the experience for me.,10,,"While we understood Shangri-la's official check-in time was 3pm we requested for possible early check in at 2 to 2:30pm. The sad thing was that while we checked in at the front desk past 3pm, we did not get our room until past 5pm. There was no apology offered, not to mention any offer of services to make up for the lapse.",Tan,Family,Tower Wing Deluxe King Room,1,"19, 2022",Singapore,sg,[List]
It's a wonderful staycation,9,Breakfast timing is too rush,family-friendly,Ong,Family,Tower Wing Deluxe Family King,2,"19, 2022",Singapore,sg,[List]
very happy three days,10,location - comfort and beautiful garden surroundings,nil,Val,Couple,Garden Wing Deluxe City King,3,"18, 2022",Australia,au,[List]
perfect family getaway,8,clean and family friendly hotel,food was very expensive.,Jasima,Family,Horizon Club Junior Suite King,1,"14, 2022",Singapore,sg,[List]
VERY GOOD,8,ROOM IS VERY GOOD INDEED AND LOCATION IS FAR FROM CITY HEART BUT BREAKFAST IS MORE GOOD,THEY ARE FRIENDLY AND MAKE THE JOURNEY COMFORT. tHANKS,Uddin,Group,Valley Wing Deluxe Twin Room,3,"14, 2022",Bangladesh,bd,[List]
"Fantastic staff, lovely facilities, great location.",9,"The hotel is within walking distance of Orchard Road but is in a lovely, quiet location. The facilities are excellent and the pool area is beautiful - perfect water temperature too. The staff are very helpful and friendly. Buffet Breakfast at The Line is fantastic, as always. An exceptional hotel.",Bed is a bit on the firm side. We asked for a second mattress topper to help.,Anne,Couple,Tower Wing Deluxe King Room,7,"13, 2022",Australia,au,[List]
Excellent! Great for young families,10,Excellent facilities for the kids! Got room slippers for them and had great indoor play area/outdoor play area for the kids. Highly recommended for families with small kids,Location was about a 10-15 min walk to Orchard Rd. Would've liked a regular shuttle bus to take people down to the main strip and pick people up every 15-20min schedule,Chris,Family,Garden Wing Deluxe Pool Twin,7,"13, 2022",Australia,au,[List]
Exceptional,10,Buffet breakfast,,George,Family,Garden Wing Deluxe City King,5,"11, 2022",Australia,au,[List]
amazing stay. highly recommend for those who can afford it,10,"the facilities provided for us specially the kids were amazing.
the way of booking all activities were well organized 
amazing design and you can enjoy the whole vacation inside the hotel",,Masoud,Family,Valley Wing Deluxe King Room,4,"10, 2022",Oman,om,[List]
"absolutely fantastic, loved every minute and can’t wait to return.",10,staff were exceptional and facilities were fantastic. Very relaxing and beautiful grounds,Nothing,Vanessa,Family,Garden Wing One Bedroom Suite King,10,"9, 2022",Australia,au,[List]
amazing,10,"pool, buds indoor playground, restaurant",,Madelene,Family,Tower Wing Deluxe King Room,1,"8, 2022",New Zealand,nz,[List]
Very Good,8,Well thought activities for children. Awesome service.,Nil,Wu,Family,Tower Wing Deluxe King Room,1,"7, 2022",Singapore,sg,[List]
family bliss,10,"incredible thought has gone into the culture of this space, it’s like a family’s dream. amazing food, drinks, facilities and more… nothing wrong at all.",,Christian,Family,Horizon Club Junior Suite King,6,"6, 2022",United Kingdom,gb,[List]
We had an enjoyable staycation,8,Clean and spacious. The children pool is good.,Buds is too small an indoor playground and very expensive.,Yoke,Family,Tower Wing Deluxe Twin Room,2,"6, 2022",Singapore,sg,[List]
great property in need of some TLC & staff training and oversight.,9,it is a great property and our room in the Garden Wing was very nice. the pool is great and most other aspects as well,"there seems to be a continuing problem with FOH staffing with the taxi calling guy during the morning uncommunicative, and later in the afternoon, the concierge service forgetting our appointment for bag pick up and car reservation to go the airport. it all worked out ok eventually but part of the problem is that you don’t seem to have enough staff. another issue is that - commendably - you have retained a number of your staff into old age; but you also need some youth & vigor to do the hard work.",David,Couple,Garden Wing Deluxe City King,1,"5, 2022",Hong Kong,hk,[List]
"Wonderful place, top recommended!",9,"Very friendly stuff, nice variety of breakfast buffet, kids facilities were superb, we enjoyed every moment during of our stay.",Nothing,Khalid,Family,Garden Wing Deluxe City King,3,"5, 2022",Oman,om,[List]
Very Good,8,Overcrowded. Good food,It is really a tourist hotel,Alex,Solo traveler,Garden Wing Deluxe Pool King,10,"27, 2022",Switzerland,ch,[List]
Unforgettable Staycation,10,"Friendly staff, flexible arrangements, kid-friendly environment and facilities, yummy food, comfortable room and bed",No,Vincente,Family,Valley Wing Deluxe Suite,2,"27, 2022",Singapore,sg,[List]
splendid!,10,family oriented & kids friendly.,Non-halal menu otherwise a definitely 10/10,Shaik,Family,Tower Wing Deluxe Family King,1,"26, 2022",Singapore,sg,[List]
Excellent and enjoyable staycation for entire family!,9,"love everything about the hotel (including the brightly lit corridors adorned with lovely dust pink wall paper), amenities and services!",the aircon is too cold and couldn’t be adjusted,Diana,Couple,Tower Wing Deluxe Twin Room,1,"22, 2022",Singapore,sg,[List]
