title,score,positive,negative,guestName,travellerType,room,nightsStay,date,country,countryCode,photos
Exceptional,10,The view and the helpful staff,Bathroom. The view was nice but the toilet and shower were dated. No bidet in the toilet,Calvin,Couple,Club Deluxe Marina Room with Marina Bay view,2,"24, 2022",Singapore,sg,[List]
nice!,8,The view and the size of the room.,the closets inside the walk in closet is old and there is no bidet,Nurul,Group,"Deluxe Kallang Twin, Guest room, 2 Twin/Single Bed(s)",2,"21, 2022",Singapore,sg,[List]
such a relaxing staycay with family,10,it was beautiful and that you could get to suntec and millenia walk and marina square without needing to get onto the roads.,none.,Hazlinda,Family,Elevated Kallang Room with Kallang Precinct view,2,"19, 2022",Singapore,sg,[List]
Exceptional,10,I didnt booked my room with breakfast as I understood it was not Halal certified. Instead we ordered food to be deliver at lobby and bought food at the nearest shopping centre which is Marina Square.I am surprised to get such awesome treatment from your staffs and they were helpful and assisted me during my two nights stay there.I will surely return again for sure as your staffs were thoughtful to give me complimentary brithday treats and again another complimentary chocolates.Indeed it was a memorable for me and my family.The view from our bedroom was lovely as it was facing Marina Bay Sands.The beds are large and the day bed as well.Amenities such as toiletries and some cushions were found inside our room.Not too forgot the big bathroom and bathtub as well.-It exceeded my expectations.I shall recommend to others😄,It will be better to have attached bidet in cubicle.,Nur,Family,Grand Marina Room with King Bed and Marina Bay view,2,"14, 2022",Singapore,sg,[List]
Wonderful birthday staycation!,10,Very relaxing,"Nothing, everything was great!",Juanita,Solo traveler,Deluxe Marina Room with Marina Bay view,1,"12, 2022",United States of America,us,[List]
"It's a great place to stay, enjoyable, comfortable but a wonderful time to be with Ritz-Carlton !",9,"Comfortable room,bed,and cleanliness.Special thanks for the great service of the housekeeping team, always keeping our room clean all the time.Great job !","Air conditional was a bit too cold , unable to adjust and control, in fact, we switched off at night .",Tony,Couple,Elevated Kallang Room with Kallang Precinct view,3,"11, 2022",Singapore,sg,[List]
Exceptional,10,"Top notch service by all the staff, especially for Singapore standards.  Probably the best I have come across having stayed in multiple 5* hotels in SG (e.g. Shangri-La Orchard, MBS etc).  Cheers to Cally who was on night shift and very kind in attending to my 2am room mishap.  Zabid from the front office for making every effort to take care of our family's needs, and Isabelle from the Club lounge.
Food and drinks (wine / Singapore Sling) at the Club Lounge was excellent.
Club lounge feels much more premium than the one at MBS which is quite a circus (crowded and can be noisy).  Ritz caters to more professional business guests, and the ratio of staff / tables to club lounge members make the experience feel much more premium than the Level 55 club lounge at MBS.
View and privacy is definitely better than the Valley Wing experience at Shangri-La which is on the 1st floor next to the reception and can be rather distracting with people walking past.
Rooms are immaculately maintained (for the age of property), and very beautiful - especially those facing the marina bay.
If you have kids, remember to ask them to do the Ritz Kids experience which was a nice touch to reward my daughter for completing the quest with a nice scoop of ice cream from Colony restaurant.",Their infrastructure may need major maintenance as water pump broke down twice during my 1 night stay which resulted in very loud and quite scary buzzing noise (especially if in the middle of the night).,Michelle,Family,Club Deluxe Kallang Room with Kallang Precinct view,1,"11, 2022",Singapore,sg,[List]
Pleasant and will come back again for sure!,10,Clean and comfortable!,NIL,Faris,Couple,Deluxe Kallang Guest room with 1 King Bed,2,"7, 2022",Singapore,sg,[List]
expensive but worth,9,"staff were super friendly, rooms were big and clean.",mbs had better pool,Cheng,Couple,Deluxe Marina Room with Marina Bay view,4,"5, 2022",Netherlands,nl,[List]
Have a great weekend staycay with my little family of five!,9,The view from my hotel suite.,There’s only 2 usb docking stations. Should add a few.,Siti,Family,Premier Suite with King Bed and Marina Bay view,2,"1, 2022",Singapore,sg,[List]
