reviews,score,hotel,date,country,room,title,travellerType
Amazing hotel with amazing staff.,5.0,Marina Bay Sands Hotel,2022,Pakistan,Deluxe King Harbor View Room,Loved every bit of it.,Family
Wonderful view and Super excellent Service!,5.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe Twin Garden View Room,Exceptional,Family
"i like the hotel location also facility, staff friendly and room very clean",4.5,Marina Bay Sands Hotel,2022,Vietnam,Deluxe Twin,Wonderful,Couple
The room is clearn. Have a great garden view.,4.0,Marina Bay Sands Hotel,2022,Australia,Deluxe Twin,Happy to stay more nights if get other holiday on next time,Group
Amazing pool,4.0,Marina Bay Sands Hotel,2022,Belgium,Deluxe King,Very Good,Couple
"What a place this is! Almost a destination in its own right. The view over Singapore from the higher floors is spectacular. And, of course, the rooftop pool is out of this world. This stay will live long in our memories.",5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King Sky View,Exceptional,Family
"Amazing stay, suite with wonderful Singapore view. Staff took great care of us with room upgrade to a high floor, cake and complimentary breakfast as we were celebrating an anniversary.",5.0,Marina Bay Sands Hotel,2022,France,Deluxe Twin City View Room,Excellent choice for a perfect stay,Couple
"I mean, what can you say? Staying here, more than the quality of the accomodation and the place itself, its an experience. Staying in the most iconic place of Singapore and watching the sunset on a swimming pool in the sky... can be seen as a check on a bucketlist.",5.0,Marina Bay Sands Hotel,2022,Portugal,Deluxe Twin Garden View Room,Watched the sunset on a swimming pool in the sky. What else can you ask for?,Solo traveler
"Would love to have used the SkyPark on the last day after checkout, but it wasn't allowed.",5.0,Marina Bay Sands Hotel,2022,Portugal,Deluxe Twin Garden View Room,Watched the sunset on a swimming pool in the sky. What else can you ask for?,Solo traveler
the roof top pool.,4.0,Marina Bay Sands Hotel,2022,India,Deluxe Twin,visitors should not be allowed,Family
Everything,5.0,Marina Bay Sands Hotel,2022,Palestinian Territory,Deluxe King Sky View,I will visit again,Couple
Late room service,5.0,Marina Bay Sands Hotel,2022,Palestinian Territory,Deluxe King Sky View,I will visit again,Couple
"Lovely and clean, great facilities and friendly staff",4.5,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King,"Well worth a stay, looked after exceptionally well. would stay again",Couple
Bed and pillows slightly uncomfortable but just personal preference,4.5,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King,"Well worth a stay, looked after exceptionally well. would stay again",Couple
place is very clean and good connection to nearby attractions.,5.0,Marina Bay Sands Hotel,2022,India,Deluxe King Garden View Room,"excellent experience, will come back for longer stay!",Couple
"Amazing views, good food, great service, infinity rooftop pool",5.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe King Garden View Room,Exceptional,Couple
"Andreas at reception was so efficient, informative and makes us extremely welcomed. Well done.",5.0,Marina Bay Sands Hotel,2022,Malaysia,Deluxe Twin,Exceptional,Family
location and activities,5.0,Marina Bay Sands Hotel,2022,Singapore,Deluxe King Harbor View Room,"we very much enjoyed our stay for the shopping, restaurants, and location for gardens by the bay.",Couple
"the room, the location, everything!",5.0,Marina Bay Sands Hotel,2022,Portugal,Deluxe Twin,to repeat again,Family
nada a apontar,5.0,Marina Bay Sands Hotel,2022,Portugal,Deluxe Twin,to repeat again,Family
One of the most friendly hotel staff put together.,4.8,Marina Bay Sands Hotel,2022,United States of America,Deluxe King Harbor View Room,Unforgettable experience.,Couple
