reviews,score,hotel,date,country,room,title,travellerType
,5.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe Twin Garden View Room,Exceptional,Family
,4.5,Marina Bay Sands Hotel,2022,Vietnam,Deluxe Twin,Wonderful,Couple
,4.0,Marina Bay Sands Hotel,2022,Belgium,Deluxe King,Very Good,Couple
,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King Sky View,Exceptional,Family
n/a,5.0,Marina Bay Sands Hotel,2022,India,Deluxe King Garden View Room,"excellent experience, will come back for longer stay!",Couple
,5.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe King Garden View Room,Exceptional,Couple
None,5.0,Marina Bay Sands Hotel,2022,Philippines,Deluxe King Garden View Room,"Stay is great, value for money",Group
,5.0,Marina Bay Sands Hotel,2022,Malaysia,Deluxe Twin,Exceptional,Family
,5.0,Marina Bay Sands Hotel,2022,Singapore,Deluxe King Harbor View Room,"we very much enjoyed our stay for the shopping, restaurants, and location for gardens by the bay.",Couple
n/a,5.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe King Harbor View Room,Eye opening,Couple
,5.0,Marina Bay Sands Hotel,2022,Italy,Deluxe Twin,A luxury stay,Couple
,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe Twin,Exceptional,Family
,4.5,Marina Bay Sands Hotel,2022,Norway,Deluxe King Harbor View Room,fantastic hotel especially the rooftop/harbour view,Couple
none,5.0,Marina Bay Sands Hotel,2022,United States of America,Deluxe King Harbor View Room,Amazing and the hotel didn't disappoint!,Family
,5.0,Marina Bay Sands Hotel,2022,Italy,Deluxe King,Exceptional,Family
,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King Garden View Room,We had the most wonderful stay!,Couple
None,5.0,Marina Bay Sands Hotel,2022,Israel,Orchid Suite Garden View,Exceptional,Family
nil,5.0,Marina Bay Sands Hotel,2022,Australia,Deluxe King Garden View Room,amazing location and food,Couple
,4.8,Marina Bay Sands Hotel,2020,United States of America,Premier King Garden View Room,"Booked 2 premier rooms, but the hotel gave us a suite! We only stayed one night but the views in very direction and loca",Family
,5.0,Marina Bay Sands Hotel,2020,United Kingdom,Deluxe King,Amazing,Couple
,4.8,Marina Bay Sands Hotel,2020,United Kingdom,The Club Room King City View,"Expensive, but worth it.",Couple
,4.5,Marina Bay Sands Hotel,2020,New Zealand,Deluxe King,Would love to book this hotel again at our next visit to Singapore,Couple
,4.8,Marina Bay Sands Hotel,2020,Kuwait,Deluxe King City View Room,Kuwait,Group
,4.5,Marina Bay Sands Hotel,2020,Australia,Deluxe King Garden View Room (3 People),My family and I enjoyed our stay in this hotel. We will definitely coming back.,Family
,4.5,Marina Bay Sands Hotel,2020,United States of America,Deluxe Twin,Wonderful,Group
,5.0,Marina Bay Sands Hotel,2020,Switzerland,The Club Room King City View,Exceptional,Couple
,4.5,Marina Bay Sands Hotel,2020,Germany,Premier King City View Room,Wonderful,Family
,5.0,Marina Bay Sands Hotel,2019,Morocco,Deluxe King,Exceptional,Group
,4.5,Marina Bay Sands Hotel,2019,India,Premier King Harbor View Room,A lovely comfortable stay,Group
,5.0,Marina Bay Sands Hotel,2019,Australia,Deluxe King City View Room (3 People),Amazing!,Couple
,5.0,Marina Bay Sands Hotel,2019,Japan,Deluxe King,Exceptional,Solo traveler
,5.0,Marina Bay Sands Hotel,2019,Bulgaria,The Club Room King City View,An unforgettable experience!,Group
,4.0,Marina Bay Sands Hotel,2019,New Zealand,Deluxe King Sky View,Very Good,Solo traveler
,5.0,Marina Bay Sands Hotel,2019,United States of America,Deluxe King,Fabulous,Couple
,5.0,Marina Bay Sands Hotel,2019,Croatia,Premier Twin,Exceptional,Couple
None,5.0,Marina Bay Sands Hotel,2019,Philippines,Premier Twin Garden View Room (3 People),Exceptional,Family
,5.0,Marina Bay Sands Hotel,2019,United States of America,Deluxe King Garden View Room,Exceptional,Family
,5.0,Marina Bay Sands Hotel,2019,Uganda,Premier King Garden View Room,Exceptional,Couple
,4.8,Marina Bay Sands Hotel,2019,United Kingdom,Deluxe Twin,Exceptional,Family
None,5.0,Marina Bay Sands Hotel,2019,United States of America,,Exceptional,Family
,4.4,Marina Bay Sands Hotel,2019,Singapore,,MBS Staycation,Family
,5.0,Marina Bay Sands Hotel,2019,United Kingdom,,Exceptional,Couple
,4.0,Marina Bay Sands Hotel,2019,United Kingdom,,Very Good,Couple
,5.0,Marina Bay Sands Hotel,2019,United Kingdom,,Exceptional,Family
,5.0,Marina Bay Sands Hotel,2022,Romania,Deluxe King,Exceptional,Family
,4.5,Marina Bay Sands Hotel,2022,Israel,Deluxe King Harbor View Room,Wonderful,Family
,4.5,Marina Bay Sands Hotel,2022,Israel,Deluxe King Harbor View Room,Wonderful,Family
,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King Harbor View Room,Exceptional,Family
,5.0,Marina Bay Sands Hotel,2020,Germany,Deluxe King City View Room,Outstanding,Couple
,5.0,Marina Bay Sands Hotel,2020,Germany,Premier Twin City View Room,Exceptional,Couple
,4.5,Marina Bay Sands Hotel,2020,Italy,Premier King Harbor View Room,Wonderful,Couple
,4.8,Marina Bay Sands Hotel,2020,Switzerland,Premier Twin City View Room,Exceptional,Group
,5.0,Marina Bay Sands Hotel,2020,Saudi Arabia,Deluxe King Harbor View Room,Exceptional,Solo traveler
,5.0,Marina Bay Sands Hotel,2020,Saudi Arabia,Deluxe King Harbor View Room,Exceptional,Solo traveler
,5.0,Marina Bay Sands Hotel,2019,Brazil,Deluxe King,Exceptional,Solo traveler
,4.8,Marina Bay Sands Hotel,2019,Norway,Deluxe King City View Room,Super,Couple
,5.0,Marina Bay Sands Hotel,2019,Germany,Deluxe Twin,Exceptional,Couple
,5.0,Marina Bay Sands Hotel,2019,Italy,Deluxe King,Marina Bay Sand ... il TOP,Family
,4.15,Marina Bay Sands Hotel,2019,Saudi Arabia,Deluxe Twin Garden View Room,Very Good,Couple
,4.15,Marina Bay Sands Hotel,2019,Saudi Arabia,Deluxe Twin Garden View Room,Very Good,Couple
,5.0,Marina Bay Sands Hotel,2019,Saudi Arabia,Special Offer - Deluxe King Harbor View Room,Exceptional,Couple
