Keyword,value
very,4768
hotel,3814
staff,3391
room,3376
great,3242
our,3110
were,3053
service,2878
my,2704
are,2387
it,2378
from,2354
good,2182
stay,2020
this,1998
you,1989
had,1934
food,1756
all,1737
view,1679
on,1650
pool,1641
as,1530
location,1451
friendly,1441
nice,1385
by,1384
excellent,1346
have,1341
will,1316
so,1310
breakfast,1306
us,1262
that,1236
be,1206
they,1140
would,1090
really,1059
an,1026
but,1009
well,989
definitely,985
amazing,978
singapore,971
rooms,922
stayed,921
also,893
time,878
-,862
best,848
thank,845
back,844
one,838
there,790
here,789
check,781
bay,772
everything,771
marina,756
experience,747
hotel.,740
like,736
helpful,731
wonderful,721
beautiful,719
out,710
which,707
made,703
clean,695
their,671
has,661
recommend,654
&,651
enjoyed,650
who,622
