Keyword,value
hotel,4308
very,3982
not,3950
room,3660
it,3531
were,3228
but,2847
are,2826
my,2821
our,2797
this,2777
you,2699
staff,2680
from,2374
on,2361
as,2357
service,2326
that,2314
had,2182
have,2119
great,2108
stay,1877
all,1771
be,1731
good,1683
they,1669
so,1636
there,1537
pool,1537
breakfast,1467
food,1426
by,1392
us,1284
no,1274
one,1260
would,1259
-,1244
an,1185
will,1170
rooms,1151
view,1114
which,1087
stayed,1084
really,1029
also,1020
singapore,1016
nice,1012
just,1008
well,990
if,980
when,978
time,977
check,974
like,931
only,925
out,887
hotel.,859
location,824
excellent,818
friendly,817
here,765
nothing,764
me,751
has,740
even,739
can,731
bay,722
back,716
best,713
could,713
more,713
get,712
definitely,710
their,700
or,691
