reviews,score,hotel,date,country,room,title,travellerType
Nothing,5.0,Marina Bay Sands Hotel,2022,Pakistan,Deluxe King Harbor View Room,Loved every bit of it.,Family
We did not even get out of the hotel. All we needed were there in the hotel.,5.0,Marina Bay Sands Hotel,2022,Philippines,Deluxe Twin,Excellent,Group
Nothing,5.0,Marina Bay Sands Hotel,2022,Philippines,Deluxe Twin,Excellent,Group
Nothing,4.0,Marina Bay Sands Hotel,2022,Australia,Deluxe Twin,Happy to stay more nights if get other holiday on next time,Group
Nothing.,5.0,Marina Bay Sands Hotel,2022,France,Deluxe Twin City View Room,Excellent choice for a perfect stay,Couple
bedrooms and washrooms were very very simple. Lobby was overcrowded.,4.0,Marina Bay Sands Hotel,2022,India,Deluxe Twin,visitors should not be allowed,Family
Had a great stay with Marina Bay Sands. Just so happened not much time to enjoy the facilities like the infinity pool and gym. Will be back soon and enjoy them. Food is fantastic. Room is nice. Employees are all so courteous. Will refer this hotel to friends.,5.0,Marina Bay Sands Hotel,2022,Philippines,Deluxe King Garden View Room,"Stay is great, value for money",Group
Nothing,4.8,Marina Bay Sands Hotel,2022,United States of America,Deluxe King Harbor View Room,Unforgettable experience.,Couple
nothing others than you need a map to find your way around!!,5.0,Marina Bay Sands Hotel,2022,United Kingdom,Deluxe King Harbor View Room,amazing hotel in an amazing place,Couple
"Baggage storage before and after check-in saved us time and allowed us to roam the area freely without worrying about our bags.
Check-in was smooth and the Customer Service Team were kind enough to allow us an early check-in and late check-out.
All the staff were friendly, and accommodation was exceptionally clean.",5.0,Marina Bay Sands Hotel,2022,Australia,Deluxe Twin,Exceptional,Group
The hotel is quite crowded and lots of people.,5.0,Marina Bay Sands Hotel,2022,Germany,Deluxe Twin Garden View Room,Overall the hotel was great but the price is on the high side.,Family
nothing to say,4.5,Marina Bay Sands Hotel,2022,Vietnam,Deluxe King Garden View Room,i enjoy in your hotel even short time,Family
"No questions asked the infinity pool! and also how 
friendly the staff were.",5.0,Marina Bay Sands Hotel,2022,Australia,Deluxe Twin City View Room,"the stay was amazing spent most of the time up on the infinity pool as most people do, could not fault our stay.",Group
Nothing,5.0,Marina Bay Sands Hotel,2022,Australia,Deluxe Twin City View Room,"the stay was amazing spent most of the time up on the infinity pool as most people do, could not fault our stay.",Group
The room is very small. The balcony doesn't have a light. The toilet does not have a bidet. Not enough full size mirrors. Again the room is not spacious enough.,4.5,Marina Bay Sands Hotel,2022,Philippines,Deluxe Twin Garden View Room,I was expecting bigger room and bed knowing how expensive this hotel is.,Family
"Great place with extraordinary service, amazing views, the famous pool and shopping and restaurants all around. I will recommend this hotel to anyone I know.",5.0,Marina Bay Sands Hotel,2022,Israel,Orchid Suite Garden View,Exceptional,Family
"The pool is too crowded!
Drinks and food too expensive!",4.8,Marina Bay Sands Hotel,2020,Brazil,Deluxe King City View Room,Exceptional,Couple
"While MBS is expensive you get what you pay for - the rooms are huge and very well appointed, and of course the view is unbeatable.",4.8,Marina Bay Sands Hotel,2020,United Kingdom,The Club Room King City View,"Expensive, but worth it.",Couple
Nothing really.,5.0,Marina Bay Sands Hotel,2020,United Kingdom,Premier King City View Room,Great experience.,Couple
"The hotel seems to be looks a must-have stop for every tourist in Singapore. As a result it is very crowded, especially the lobby and the pool",3.95,Marina Bay Sands Hotel,2020,Russia,Deluxe King Garden View Room,A crowded city in a city,Family
"Very expensive, food and drinks very expensive.",4.0,Marina Bay Sands Hotel,2020,Ireland,Deluxe King City View Room,Very Good,Couple
"Very very busy. Some staff treat you not very nicely. Guess because they talk to too many people (there are a lot of people in the lobby that are not guests, just checking the place). The staff however is super nice everywhere else where it is known we are guests.",4.0,Marina Bay Sands Hotel,2020,United States of America,Premier King,Very Good,Family
Pool not heated,5.0,Marina Bay Sands Hotel,2020,United States of America,Premier King Garden View Room,Stay was good,Family
Nothing,5.0,Marina Bay Sands Hotel,2020,Australia,Deluxe King City View Room,Exceptional,Couple
Nothing,5.0,Marina Bay Sands Hotel,2020,New Zealand,Deluxe King City View Room,Amazing experience!!,Family
Water expensive,4.8,Marina Bay Sands Hotel,2020,South Africa,Deluxe Twin,Exceptional,Family
"These rooms should not be advertised as suitable for 3 people. It had only two single beds and I had asked for room for 2 adults and a 12 year old. The beds were totally inadequate. We had to get an extra bed that we had to pay for, which was disappointing.",4.0,Marina Bay Sands Hotel,2019,New Zealand,Deluxe Twin Garden View Room,Fantastic hotel in ther best location,Family
"Too long a queue at check in counter & long queue at the lift.
The night club was not operating on night of 20/11/19",4.5,Marina Bay Sands Hotel,2019,Australia,Deluxe King,"Excellent pleasant stay. Excellent pool, love the pool",Solo traveler
Very very expensive,4.8,Marina Bay Sands Hotel,2019,United States of America,Family 1 Bedroom,Exceptional,Family
"Breakfast had a wide array of different cuisine. Location where we had breakfast was right outside elevator hall.
You can actually experience Singapore at the Marina Bay Sands. YOU NEED NOT LEAVE THE PLACE!",5.0,Marina Bay Sands Hotel,2019,Philippines,Deluxe King Garden View Room,MBS is a CITY by herself.,Couple
The pool was crowded.,5.0,Marina Bay Sands Hotel,2019,United States of America,Family 1 Bedroom,Exceptional,Family
Great property and service ....quite expensive compared to all other hotels but service and room were great,5.0,Marina Bay Sands Hotel,2019,United States of America,Deluxe King,Exceptional,Couple
Expensive property but YOU GET WHAT YOU PAY FOR,5.0,Marina Bay Sands Hotel,2019,United States of America,Deluxe King,Exceptional,Couple
"No shuttle service from the airport, too long waiting time for check-in.",4.8,Marina Bay Sands Hotel,2019,Ireland,Deluxe Twin Garden View Room,Exceptional,Solo traveler
"The lobby is terrible. Way too big with no seating whatsoever. After you check out and are waiting for a car, there is literally nowhere to sit.  It resembles a huge airport terminal, with people and suitcases moving about everywhere. And then there are the groups of tourists endlessly being walked through the lobby, making the crowd even worse. This should not be allowed in a hotel of this high price range.",4.8,Marina Bay Sands Hotel,2019,Australia,Deluxe Twin City View Room,Great pool and view,Group
"Everything from the staff, they were amazing, they helped me if I needed anything and they made my birthday special. 
The place was perfect, best place I ever spent for my birthday and I cannot wait to come back.",5.0,Marina Bay Sands Hotel,2019,Australia,Deluxe Twin City View Room,Exceptional,Group
You expect to get a luxurious room but is quite a standard large room. To be really rigorous about the level of the hotel I received 2 conditioners but no shampoo and only one shower gel.,4.6,Marina Bay Sands Hotel,2019,Romania,Premier King Sky View,Amazing view!,Couple
